UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
10RA00001,0,00001,00001,00,08,,,Tx,,,,,,,M,,,,,0,,,,2.6,,,,,,32.8,7.0,21.3,46,2,,1,,,,,,,,,,,,2.0,Tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,,,0,,0.0
10RA00002,0,00026,00026,00,07,,,07,,,,,,,M,,,,,0,,51,,4.1,,,13.2,,,23.7,4.0,16.9,60,2,,5,,,,,,,,,,,,3.0,Purchased,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,93,0304,0,,0.0
10RA00003,0,00027,00027,00,08,,,Tx,,,,,,,M,,,,,0,,,,3.2,,,,,,36.3,6.6,18.2,40,1,,1,,,,,,,,,,,,2.0,B. ovis pos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,93,0115,0,,0.0
10RA00004,0,00091,00091,00,08,,,97,,,,,,,M,,,,,0,,51,,2.9,,,5.7,,,32.7,8.2,25.1,46,1,,1,,,,,,,,,,,,2.0,Tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,,,0,,0.0
10RA00005,0,00639,00639,00,06,1,00,Tx,,,.,,,,M,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,SMALL,,,,,,,,,,,,,.,,,Term,,,,,,,,,,,,,0,0,0.0,2010,,,0,OR59,0.0
10RA00006,0,00647,00647,00,07,,,30,,,,,,,M,,,,,0,,51,,2.6,,,6.5,,,24.7,3.5,14.2,60,1,,2-,,,,,,,,,,,,3.0,Purchased,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,93,0304,0,,0.0
10RA00007,0,00712,00712,00,07,,,30,,,,,,,M,,,,,0,,,,2.7,,,,,,,,,,1,,2,,,,,,,,,,,,3.0,B. ovis pos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,93,0115,0,,0.0
10RA00008,0,00740,00740,00,07,,,30,,,,,,,M,,,,,0,,49,,2.0,,,6.8,,,,,,,2,,2,,,,,,,,,,,,3.0,Purchased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,,,0,,0.0
10RA00009,0,07022,07022,00,07,,,07,,,,,,,M,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Purchased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,,,0,,0.0
10RA00010,0,07142,07142,00,07,,,30,,,,,,,M,,,,,0,,,,2.7,,,,,,,,,,1,,2+,,,,,,,,,,,,3.0,B. ovis pos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,2010,93,0115,0,,0.0
