UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON136,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,LOT3,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
11RA00001,2008053855,H3855,H3855,05,08,1,,30,P08,,,2,2,2.0,M,91,94,127,0.654,199,144,48,0.141,2.8,,,8.4,,,,,,,1,1,3+,,,H2362,05,H2664,05,,,243,227,0.398,3.0,,V,,,,,,AA,QR,,,,,VAS,,,,,,,,,,,,,,,,4,10,7.5,2011,,,0,,0.048
11RA00002,2008053858,H3858,H3858,05,08,1,,30,P08,,,3,2,5.0,M,91,83,127,0.585,0,128,,0.127,2.8,,,,,,,,,,2,1,2,,,H2362,05,H0652,05,,,,,-0.565,3.0,,3,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,5,13,8.5,2011,93,0121,10031,,0.053
11RA00003,2008054337,H4337,H4337,05,08,1,,30,P02,,,4,1,4.0,M,102,82,116,0.602,0,131,,0.134,2.4,,,,,,,,,,1,1,2-,,,H1852,05,H1342,05,,,,,-0.558,3.0,,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,6,19,9.0,2011,92,0203,10008,,0.055
11RA00004,2007643879,K3879,K3879,64,07,1,6T,06,03,,T,1,1,3.0,M,78,107,135,0.69,268,189,48,0.219,2.4,,,13.6,,,22.2,3.7,16.8,62,1,1,3+,,,00595,00,K3158,64,,,306,227,0.525,4.0,ENTROPION,3,,,,,,AA,,,,,,Ter,,,Colu,,,,,,,,,,,,,4,6,4.0,2011,93,0825,10119,,0.0
11RA00005,2007644025,K4025,K4025,64,07,1,6T,06,06,,T,2,2,2.0,M,86,93,134,0.601,255,177,48,0.223,2.8,,,11.2,,,21.1,3.6,16.8,64,1,1,4+,,,05360,00,K3292,64,,,290,227,0.53,4.0,.,3,,,,,,AA,,,,,,Ter,,,Colu,,,,,,,,,,,,,5,8,8.0,2011,93,0825,10102,,0.0
11RA00006,2007644044,K4044,K4044,64,07,1,6T,06,e01,,T,1,1,1.0,M,87,87,133,0.562,263,191,48,0.276,2.4,,,13.2,,,23.2,4.3,18.4,62,2,1,3-,,,K3050,64,K3629,64,,,298,227,0.567,4.0,NICE LAMB,3,,,,,,AARH,,,,,,Ter,,,Colu,,,,,,,,,,,,,4,7,7.0,2011,93,0825,10126,,0.022
11RA00007,2008644216,K4216,K4216,64,08,1,,06,C45,,,1,1,2.0,M,79,109,139,0.679,217,171,48,0.181,3.1,,,13.2,,,,,,,1,1,2-,,,K3591,64,K3677,64,,,270,227,0.43,3.0,,2,,,,,,AA,QR,,,,,,,,,,,,,,,,,,,,,4,6,3.0,2011,92,0906,10190,,0.044
11RA00008,2008644233,K4233,K4233,64,08,1,,06,05,,,1,1,3.0,M,80,137,140,0.866,272,156,48,0.056,2.3,,,12.0,,,,,,,1,1,4+,,,   57,00,K3385,64,,,326,227,0.508,3.0,,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,8,8.0,2011,93,0825,10107,,0.0
11RA00009,2008644250,K4250,K4250,64,08,1,,06,03,,,2,2,3.0,M,81,90,139,0.567,253,164,48,0.216,2.3,,,9.0,,,,,,,2,1,2-,,,   29,00,K3580,64,,,289,227,0.535,3.0,,3,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,5,8,8.0,2011,93,0825,10101,,0.0
11RA00010,2008644267,K4267,K4267,64,08,1,,06,C44,,,2,2,6.0,M,82,119,138,0.755,0,181,48,0.18,2.8,,,13.4,,,,,,,1,1,3,,,K3272,64,K2649,64,,,,,-0.821,3.0,Before 6/14,6,,,,,,AA,QQ,,,,,,,,,,,,,,,,,,,,,6,9,8.0,2011,01,0614,0,,0.053
11RA00011,2008644272,K4272,K4272,64,08,1,,06,06,,,1,1,2.0,M,83,114,137,0.753,212,161,48,0.136,2.5,,,8.8,,,,,,,1,2,3,,,K3132,64,K3737,64,,,252,227,0.371,3.0,,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,5,4.0,2011,92,0906,10193,,0.02
11RA00012,2008644306,K4306,K4306,64,08,1,,06,C43,,,3,2,4.0,M,85,97,135,0.637,243,172,48,0.216,2.4,,,13.0,,,,,,,1,1,3-,,,K3370,64,K3115,64,,,297,227,0.538,3.0,,1,,,,,,VV,QQ,,,,,VAL,,,,,,,,,,,,,,,,4,8,7.0,2011,,,0,,0.041
11RA00013,2008644312,K4312,K4312,64,08,1,,06,C41,,,2,1,5.0,M,85,85,135,0.536,222,123,48,0.11,2.4,,,12.6,,,,,,,1,1,2-,,,K3661,64,K2828,64,,,270,227,0.497,3.0,,2,,,,,,AA,RR,,,,,,,,,,,,,,,,,,,,,4,9,6.5,2011,92,0906,10195,,0.041
