UID,ETAG,YR,SEA,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SHOU,SIDE,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,WRK,DAM5,LIB,LIBING,FERT,LOT,SEMEN,YRREC
93RA00041,K6088,92,1,68,06,C-3,2,2,20,Y,95,88,122,0.736,162,162,137,0.26,6.3,6.6,2.5,60,9.8,62.0,6.1,21.5,64,,1,3-,1.73,125.7,399463,4691,63,202,189,0.338,1.0,4TEATS,1,ADG,121,107,,K4691,S3,AA,94.0,01,E,1993
93RA00042,K6089,92,1,68,06,C-3,2,2,20,Y,95,87,122,0.598,141,141,137,0.189,6.3,7.0,2.6,58,10.1,62.2,6.3,23.5,60,,1,4-,1.73,125.7,399463,4691,63,186,189,0.294,1.0,CHK.FACE,2,,105,108,,K4691,S2,AA,,186,,1993
93RA00043,K6102,92,1,68,06,C-4,1,1,50,Y,95,117,122,0.683,162,162,137,0.158,6.3,6.8,2.6,56,11.7,55.6,6.5,21.4,64,,1,2+,1.6,116.6,388463,2868,63,206,189,0.264,1.0,BRN.FEET,3,,95,112,,K2868,D3,DUD,,,,1993
93RA00044,K6106,92,1,68,06,C12,2,2,20,Y,96,85,121,0.658,143,143,137,0.204,6.0,6.2,2.4,58,8.5,59.9,5.1,19.1,80,,1,3,1.73,130.1,452563,4605,63,184,189,0.294,1.0,MAGGOTS,1,LBW,105,99,,K4605,S3,AA,94.0,13,E,1993
93RA00045,K6114,92,1,68,06,C-2,3,2,70,Y,96,88,121,0.59,138,138,137,0.175,6.5,6.6,2.6,62,12.0,49.0,5.9,23.6,60,,2,3,1.78,122.0,425163,1605,63,166,189,0.231,1.0,4TEATS,3,,83,104,,K1605,D3,DUD,,,,1993
93RA00046,K6117,92,1,68,06,C-3,2,2,60,Y,96,97,121,0.717,122,122,137,0.088,6.3,6.8,2.6,58,10.2,53.8,5.5,24.0,60,,1,3-,1.69,96.9,399463,1831,63,159,189,0.184,1.0,"LOW IDX,SIZE",3,MKT,66,100,,K1831,D3,DUD,,,,1993
93RA00047,K6130,92,1,68,06,C-4,2,2,40,Y,96,89,121,0.652,145,145,137,0.196,6.0,6.2,2.4,58,10.3,52.5,5.4,22.4,62,,1,3,1.67,127.4,388463,3373,63,183,189,0.279,1.0,4TEATS,1,CTL,100,98,,K3373,S1,A,90.0,61,E,1993
93RA00048,K6136,92,1,68,06,C11,1,1,20,Y,96,112,121,0.657,166,166,137,0.189,7.2,7.4,2.9,58,11.2,60.6,6.8,22.6,62,,1,3,1.73,128.5,442263,4911,63,208,189,0.285,1.0,STUDRAM,1,LBW,102,117,,K4911,S4,AAA,40.0,G.1,E,1993
93RA00049,K6144,92,1,68,06,C-2,1,1,50,Y,96,109,121,0.629,151,151,137,0.147,7.2,8.0,3.0,56,12.0,59.8,7.2,23.1,62,,3,3+,1.93,130.0,425163,2657,63,195,189,0.255,1.0,4TEATS,1,LBW,91,121,,K2657,D3,DUD,,alt,S,1993
93RA00050,K6157,92,1,68,06,C11,1,1,30,Y,97,122,120,0.732,164,164,137,0.147,7.0,7.0,2.8,64,9.5,65.0,6.2,21.7,64,,1,3,1.44,92.5,442263,4090,63,201,189,0.234,1.0,,2,,84,111,,K4090,S3,AA,,191,,1993
