UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,MICRON,SD,CV,CEM,PF,DIGR
02PR00029,A6761,1,30,81,99,1,3.0,0,M,.,2,3+,9.0,3.5,,1,e62,INBR,y,31.7,5.5,17.3,9.4,58.4,48
02PR00030,A8115,1,30,81,00,1,2.0,0,Y,.,2,1,7.8,3.1,PINK SEMEN,1,.,FLWT,y,29.7,4.5,15.2,7.6,42.9,50
02PR00031,A8193,1,30,81,01,1,1.0,0,L,.,1,1-,7.2,2.8,,1,.,Lww,y,26.3,4.6,17.6,8.6,16.7,58
02PR00032,A8038,1,30,81,00,1,2.0,0,Y,.,2,1,7.8,3.1,RCVR<,1,alt,LWW2,y,26.1,4.2,16.0,7.3,13.5,58
02PR00033,A8075,1,30,82,00,1,2.0,0,Y,LIB,.,.,0.0,0.0,,3,LIB,LIB,N,,,,,0.0,0
02PR00034,A8315,1,30,81,01,1,1.0,0,L,.,1,2+,8.4,3.3,,1,.,Lww,y,25.8,5.4,21.1,10.1,18.7,58
02PR00035,A8331,1,30,82,01,1,1.0,0,L,.,2,2-,6.3,2.5,H2,1,.,Ctrl,y,24.6,4.4,18.0,8.4,10.1,60
02PR00036,A8335,1,30,81,01,1,1.0,0,L,.,2,1-,7.4,2.9,,1,.,Lww,y,24.2,3.7,15.2,6.7,4.8,60
02PR00037,A8337,1,30,82,01,1,1.0,0,L,.,1,3+,6.5,2.6,,1,.,Ctrl,y,23.5,3.5,15.1,6.4,3.5,60
02PR00038,A8348,1,30,84,01,1,1.0,7,L,.,2,2,8.0,3.1,,1,.,Inbr,y,25.4,4.5,17.9,8.1,13.0,58
02PR00039,A8368,1,30,84,01,1,1.0,7,L,.,2,3+,6.3,2.5,,1,.,Inbr,y,26.2,4.7,18.0,9.0,16.2,58
02PR00040,A8325,1,30,84,01,1,1.0,7,L,.,1,3,6.8,2.7,,1,.,Inbr,y,22.8,4.3,18.8,8.7,5.4,62
02PR00041,A8387,1,30,84,01,1,1.0,7,L,.,2,2,7.9,3.1,,1,.,Lww,y,23.8,4.1,17.2,7.4,5.4,60
02PR00042,A8379,1,30,83,01,1,1.0,7,L,.,2,2-,6.9,2.7,,1,.,Flwt,y,23.7,4.3,18.1,7.7,5.9,60
02PR00043,A8400,1,30,84,01,1,1.0,7,L,.,2,1-,6.0,2.4,,1,.,Lww,y,24.9,3.8,15.4,7.2,7.2,60
02PR00044,A8403,1,30,82,01,1,1.0,0,L,.,2,2+,5.9,2.3,H2,1,.,Lww,y,24.3,3.7,15.1,6.9,5.3,60
02PR00045,A8431,1,30,83,01,1,1.0,7,L,.,2,2+,5.8,2.3,,1,.,Flwt,y,23.8,3.4,14.3,6.4,3.8,60
02PR00046,A8433,1,30,83,01,1,1.0,7,L,.,2,2,5.0,2.0,,1,.,Flwt,y,21.2,3.3,15.3,5.8,0.5,64
02PR00047,A8432,1,30,83,01,1,1.0,7,L,.,2,1-,6.6,2.6,,1,.,Flwt,y,22.9,3.8,16.5,6.9,2.5,62
02PR00048,A8458,1,30,84,01,1,1.0,7,L,.,2,3,7.1,2.8,NICE,1,.,Inbr,y,22.7,3.8,16.8,6.9,2.6,62
02PR00049,A8457,1,30,84,01,1,1.0,7,L,.,2,4+,7.9,3.1,NICE,1,.,Inbr,y,24.0,4.3,17.9,8.3,7.5,60
02PR00050,A8468,1,30,81,01,1,1.0,0,L,.,2,3+,5.3,2.1,,1,.,Lww,y,24.7,4.3,17.3,8.4,9.2,60
02PR00051,A8469,1,30,81,01,1,1.0,0,L,.,2,3+,6.6,2.6,,1,.,Lww,y,22.1,4.0,18.2,7.6,2.4,62
02PR00052,A8421,1,30,81,01,1,1.0,0,L,.,1,2+,7.0,2.8,,1,.,Lww,y,22.7,3.4,14.9,6.0,2.0,62
02PR00053,A8423,1,30,84,01,1,1.0,7,L,.,4,2,7.2,2.8,"X, HORNS, H5",1,.,Inbr,y,25.3,4.0,15.8,7.2,9.4,58
02PR00054,A8424,1,30,84,01,1,1.0,7,L,.,2,2,7.4,2.9,NICE,1,.,Inbr,y,26.4,5.5,21.0,10.1,22.3,56
02PR00055,A8422,1,30,81,01,1,1.0,0,L,.,1,2,8.1,3.2,,1,.,Lww,y,24.6,4.1,16.7,7.5,7.9,60
02PR00056,A8427,1,30,84,01,1,1.0,7,L,.,2,2-,6.8,2.7,"WEAK,SCOURS",1,.,Lww,y,26.8,4.7,17.7,8.9,20.4,56
02PR00057,A8496,1,30,83,01,1,1.0,7,L,.,2,2,6.8,2.7,,1,.,Flwt,y,23.1,4.7,20.4,8.6,6.7,62
02PR00058,A8479,1,30,82,01,1,1.0,0,L,.,2,1-,6.1,2.4,4TEATS,1,.,Ctrl,y,24.3,3.9,16.1,6.9,5.4,60
02PR00059,A8512,1,30,83,01,1,1.0,7,L,.,2,2+,6.3,2.5,,1,.,Flwt,y,23.3,3.6,15.6,7.1,3.7,62
