UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,PD,LIB,NAX,STUDY,MICRON,SD,CV,CEM,PF,DIGR
01PR00297,R1456,1,43,12,00,1,1.0,0,Y,,1,3-,7.0,2.8,,Y,1,n,x,,20.26,5.12,25.3,9.4,4.3,64
01PR00298,R1466,1,07,11,00,1,1.0,0,Y,,3,3-,6.4,2.5,H3,Y,1,n,x,,18.98,3.5,18.5,6.3,0.5,80
01PR00299,R1469,1,07,11,00,1,1.0,0,Y,,2,3,7.0,2.8,,Y,1,n,x,,21.32,4.19,19.7,7.3,2.7,64
01PR00300,R1467,1,43,13,00,1,1.0,0,Y,,1,3-,7.8,3.1,MSG 5/23/01,Y,1,n,x,,18.66,3.49,18.7,6.3,0.2,80
01PR00301,R1480,1,43,13,00,1,1.0,0,Y,,1,3-,7.2,2.8,,Y,1,n,x,,19.47,4.06,20.9,7.5,1.3,70
01PR00302,R1489,1,07,11,00,1,1.0,0,Y,,7,3+,7.3,2.9,H7,Y,1,n,x,,21.42,4.53,21.1,8.0,4.0,64
01PR00303,R1498,1,42,12,00,1,1.0,0,Y,,5,3,8.5,3.3,H4,Y,1,n,x,,21.05,3.97,18.9,7.2,2.5,64
01PR00304,R1499,1,42,12,00,1,1.0,0,Y,,6,2-,8.7,3.4,H3+,Y,1,n,x,,19.58,4.15,21.2,7.4,1.4,70
01PR00305,R1471,1,07,11,00,1,1.0,0,Y,,6,3,8.0,3.1,H7,Y,1,n,x,,23.67,4.65,19.7,8.2,10.2,60
01PR00306,R1516,1,43,10,00,1,1.0,0,Y,,3,5+,7.8,3.1,RUGGED save,Y,1,n,x,,19.41,3.79,19.5,7.3,1.1,70
01PR00307,R1533,1,07,10,00,1,1.0,0,Y,,3,4+,7.4,2.9,,Y,1,n,x,,20.05,4.2,20.9,7.3,1.6,70
01PR00308,R1547,1,07,12,00,1,1.0,0,Y,,2,3+,6.9,2.7,TOP ctrl save,Y,1,n,x,,19.89,3.97,20.0,7.3,1.6,70
01PR00309,R1564,1,07,13,00,1,1.0,0,Y,,2,3-,6.5,2.6,,Y,1,n,x,,20.9,4.05,19.4,7.4,2.4,64
01PR00310,R1565,1,07,13,00,1,1.0,0,Y,,1,3,8.6,3.4,,Y,1,n,x,,19.87,3.26,16.4,5.6,0.3,70
01PR00311,R1567,1,07,10,00,1,1.0,0,Y,,3,3,6.8,2.7,H3,Y,1,n,x,,18.98,3.63,19.1,6.5,0.8,80
01PR00312,R1525,1,43,12,00,1,1.0,0,Y,,2,3,7.6,3.0,,Y,1,n,x,,20.59,3.13,15.2,5.8,0.5,70
01PR00313,R1583,1,43,13,00,1,1.0,0,Y,,2,3-,7.1,2.8,,Y,1,n,x,,18.49,3.84,20.8,7.0,0.8,80
01PR00314,R1587,1,07,10,00,1,1.0,0,Y,,1,4,8.8,3.5,,Y,1,n,x,,20.66,4.96,24.0,9.2,4.8,64
01PR00315,R1570,1,43,13,00,1,1.0,0,Y,,1,4,7.0,2.8,,Y,1,n,x,,17.48,3.62,20.7,6.9,0.3,80
01PR00316,R1614,1,43,13,00,1,1.0,0,Y,,2,4,8.0,3.1,,Y,1,n,x,,26.44,4.77,18.1,8.2,24.6,56
01PR00317,R1619,1,43,13,00,1,1.0,0,Y,,6,3-,7.8,3.1,H4,Y,1,n,x,,17.26,3.2,18.5,5.8,0.3,80
01PR00318,R1634,1,43,13,00,1,1.0,0,Y,,1,4+,7.1,2.8,,Y,1,n,x,,17.97,3.48,19.4,6.4,0.3,80
