UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
00PR00288,K0101,2,06,62,98,1,2.0,7,3,LIM,.,.,9.8,3.86,,Y,27.95,4.32,15.5,54
00PR00289,K0104,2,06,60,98,1,2.0,7,3,LIM,.,.,10.4,4.09,,Y,28.56,5.06,17.7,54
00PR00290,K0102,2,06,62,98,1,2.0,7,3,LIM,.,.,9.0,3.54,,Y,29.01,4.66,16.1,54
00PR00291,K0131,2,06,60,98,1,2.0,7,3,LIM,.,.,9.5,3.74,4TEATS,Y,28.27,4.86,17.2,54
00PR00292,K0130,2,06,60,98,1,2.0,7,3,LIM,.,.,9.0,3.54,,Y,27.13,4.67,17.2,56
00PR00293,K0135,2,06,60,98,1,2.0,7,1,GXE,.,.,8.3,3.27,,Y,30.17,5.21,17.3,50
00PR00294,K0145,2,06,60,98,1,2.0,7,3,LIM,.,.,7.9,3.11,4TEATS,Y,24.69,4.19,17.0,60
00PR00295,K0150,1,05,00,98,1,2.0,0,M,CC,2,3,8.3,3.27,H3,n,,,,0
00PR00296,K0159,2,06,62,98,1,2.0,7,3,LIM,.,.,10.5,4.13,4TEATS,Y,30.61,4.65,15.2,50
00PR00297,K0123,2,06,60,98,1,2.0,7,1,GXE,.,.,9.1,3.58,,Y,29.95,5.18,17.3,50
00PR00298,K0126,2,06,62,98,1,2.0,7,1,GXE,.,.,9.2,3.62,,Y,29.53,4.92,16.7,50
00PR00299,K0122,2,06,61,98,1,2.0,7,1,GXE,.,.,9.5,3.74,4TEATS,Y,26.9,4.38,16.3,56
00PR00300,K0180,2,06,60,98,1,2.0,7,1,GXE,.,.,9.0,3.54,DYSTOCIA'99,Y,26.93,4.64,17.2,56
00PR00301,K0187,2,06,61,98,1,2.0,7,3,LIM,.,.,8.5,3.35,4TEATS,Y,25.23,4.4,17.4,58
00PR00302,K0170,2,06,60,98,1,2.0,7,1,GXE,.,.,8.8,3.46,,Y,30.11,5.46,18.1,50
00PR00303,K0173,2,06,61,98,1,2.0,7,1,GXE,.,.,8.4,3.31,,Y,27.88,5.22,18.7,54
00PR00304,K0174,2,06,60,98,1,2.0,7,1,GXE,.,.,8.4,3.31,4TEATS,Y,25.66,5.24,20.4,58
00PR00305,K0012,1,05,00,98,1,2.0,0,M,CC,2,2,9.2,3.62,,n,,,,0
00PR00306,K0018,2,06,61,98,1,2.0,7,1,GXE,.,.,10.2,4.02,,Y,31.75,6.1,19.2,48
00PR00307,K0030,1,05,00,98,1,2.0,0,M,CC,2,3,9.5,3.74,,n,,,,0
00PR00308,K0038,2,06,61,98,1,2.0,7,1,GXE,.,.,9.6,3.78,,Y,27.54,6.09,22.1,56
00PR00309,K0039,2,06,61,98,1,2.0,7,3,LIM,.,.,10.0,3.94,4TEATS,Y,25.94,5.99,23.1,58
00PR00310,K0055,2,06,62,98,1,2.0,7,1,GXE,.,.,10.5,4.13,BLACKEYE,Y,27.47,5.83,21.2,56
00PR00311,K0056,2,06,62,98,1,2.0,7,3,LIM,.,.,10.2,4.02,,Y,28.57,5.53,19.3,54
00PR00312,K0058,1,06,61,98,1,2.0,7,M,GXE,1,3+,8.5,3.35,,Y,24.02,4.37,18.2,60
00PR00313,K0064,2,06,61,98,1,2.0,7,3,LIM,.,.,10.0,3.94,4TEATS,Y,27.8,4.73,17.0,56
00PR00314,K0065,2,06,61,98,1,2.0,7,1,GXE,.,.,8.2,3.23,4TEATS,Y,25.59,4.48,17.5,58
00PR00315,K0087,2,06,60,98,1,2.0,7,1,GXE,.,.,10.5,4.13,,Y,27.86,4.56,16.4,54
00PR00316,K0096,1,05,00,98,1,2.0,0,M,CC,1,1-,7.0,2.76,BALD,n,,,,0
00PR00317,K0316,2,06,62,98,1,2.0,7,1,GXE,.,.,10.3,4.06,,Y,31.4,5.72,18.2,48
00PR00318,K0317,2,06,62,98,1,2.0,7,1,GXE,.,.,9.2,3.62,4TEATS,Y,33.74,5.17,15.3,46
00PR00319,K0307,2,06,60,98,1,2.0,7,3,LIM,.,.,10.0,3.94,4TEATS,Y,29.82,4.9,16.4,50
00PR00320,K0333,2,06,62,98,1,2.0,7,1,GXE,.,.,10.5,4.13,,Y,35.19,8.5,24.2,44
00PR00321,K0335,1,06,62,98,1,2.0,7,M,GXE,1,3+,9.2,3.62,BAD R. EYE,Y,28.96,5.17,17.9,54
00PR00322,K0342,2,06,62,98,1,2.0,7,1,GXE,.,.,9.1,3.58,"ENTR,4TEATS",Y,26.42,4.32,16.3,56
00PR00323,K0357,2,06,61,98,1,2.0,7,3,LIM,.,.,10.0,3.94,4TEATS,Y,25.26,4.5,17.8,58
00PR00324,K0361,2,06,61,98,1,2.0,7,3,LIM,.,.,11.5,4.53,,Y,27.46,4.77,17.4,56
00PR00325,K0366,2,06,60,98,1,2.0,7,3,LIM,.,.,8.2,3.23,4TEATS,Y,29.47,5.35,18.2,50
00PR00326,K0383,2,06,60,98,1,2.0,7,1,GXE,.,.,8.2,3.23,,Y,26.62,4.19,15.8,56
00PR00327,K0384,2,06,60,98,1,2.0,7,3,LIM,.,.,8.6,3.39,,Y,26.11,5.15,19.7,58
00PR00328,K0386,1,05,00,98,1,2.0,0,M,CC,1,3+,11.0,4.33,,n,,,,0
00PR00329,K0382,2,06,62,98,1,2.0,7,1,GXE,.,.,8.3,3.27,DYSTOCIA'99,Y,25.23,4.45,17.6,58
00PR00330,K0372,2,06,61,98,1,2.0,7,1,GXE,.,.,8.7,3.43,4TEATS,Y,26.21,4.28,16.3,58
00PR00331,K0379,2,06,60,98,1,2.0,7,1,GXE,.,.,9.2,3.62,,Y,27.82,5.29,19.0,56
