UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
20PR00001,A0005,2,30,,18,2.0,,6.1,,,.,,,,,
20PR00002,A0006,2,30,,18,2.0,,6.0,,,.,,,,,
20PR00003,A0009,2,30,,18,2.0,,8.4,,,.,,,,,
20PR00004,A0013,1,30,,18,2.0,,10.3,,,Nice!,,,,,
20PR00005,A0023,2,30,,18,2.0,,6.5,,,.,,,,,
20PR00006,A0024,2,30,,18,2.0,,9.2,,,.,,,,,
20PR00007,A0025,2,30,,18,2.0,,8.0,,,HAIRY,,,,,
20PR00008,A0032,2,30,,18,2.0,,7.0,,,PINK,,,,,
20PR00009,A0035,2,30,,18,2.0,,,,,.,,,,,
20PR00010,A0049,2,30,,18,2.0,,8.3,,,PINK,,,,,
20PR00011,A0051,1,30,,18,2.0,,7.6,,,Scurs,,,,,
20PR00012,A0052,2,30,,18,2.0,,8.3,,,PINK,,,,,
20PR00013,A0059,2,30,,18,2.0,,8.0,,,.,,,,,
20PR00014,A0061,2,30,,18,2.0,,6.6,,,PINK,,,,,
20PR00015,A0069,2,30,,18,2.0,,7.5,,,.,,,,,
20PR00016,A0070,2,30,,18,2.0,,9.3,,,.,,,,,
20PR00017,A0072,2,30,,18,2.0,,9.0,,,PINK.UGLY,,,,,
20PR00018,A0073,2,30,,18,2.0,,10.0,,,.,,,,,
20PR00019,A0078,2,30,,18,2.0,,8.1,,,.,,,,,
20PR00020,A0081,2,30,,18,2.0,,7.3,,,.,,,,,
20PR00021,A0089,2,30,,18,2.0,,7.4,,,.,,,,,
20PR00022,A0094,2,30,,18,2.0,,7.1,,,.,,,,,
20PR00023,A0103,2,30,,18,2.0,,8.4,,,ScoursTx,,,,,
20PR00024,A0106,2,30,,18,2.0,,8.1,,,RespTx,,,,,
20PR00025,A0110,2,30,,18,2.0,,8.0,,,.,,,,,
20PR00026,A0121,2,30,,18,2.0,,6.0,,,.,,,,,
