UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,MICRON,SD,CV,DIGR,RMK
97PR00554,T5677,1,02,41,96,1,1.0,2,M,,2,2-,8.0,3.1,21.25,4.22,19.9,64,
97PR00555,T5210,1,02,ID,96,1,1.0,I,I,,1,3-,8.0,3.1,21.82,4.04,18.5,64,
97PR00556,T5213,1,02,41,96,1,1.0,2,M,,1,3+,8.4,3.3,22.96,4.39,19.1,62,
97PR00557,T5202,1,02,42,96,1,1.0,2,C,,1,4-,7.8,3.1,24.2,5.34,22.1,60,1 CRYPTORCHID
97PR00558,T5233,1,02,ID,96,1,1.0,I,I,,1,3+,8.6,3.4,21.13,3.87,18.3,64,
97PR00559,T5255,1,02,42,96,1,1.0,2,C,,2,2-,7.0,2.8,20.94,3.48,16.6,64,4TEATS
97PR00560,T5252,1,02,41,96,1,1.0,2,M,,2,3+,8.0,3.1,20.39,3.81,18.7,70,
97PR00561,T5266,1,02,ID,96,1,1.0,I,I,,1,3-,8.0,3.1,21.1,3.57,16.9,64,
97PR00562,T5262,1,02,41,96,1,1.0,2,M,,1,3,8.2,3.2,24.12,4.65,19.3,60,
97PR00563,T5221,1,02,41,96,1,1.0,2,M,,1,2,5.5,2.2,20.81,4.36,21.0,64,
97PR00564,T5225,1,02,42,96,1,1.0,2,C,,2,4+,7.6,3.0,23.99,4.42,18.4,60,F4-only1/sire
97PR00565,T5288,1,02,41,96,1,1.0,2,M,,1,4,8.4,3.3,22.31,4.41,19.8,62,F4+
97PR00566,T5714,1,02,ID,96,1,1.0,I,I,,,,0.0,0.0,,,,0,MSG 2/11/97 !
97PR00567,T5715,1,02,41,96,1,1.0,2,M,,2,3+,8.1,3.2,24.99,4.92,19.7,58,
97PR00568,T5716,1,02,41,96,1,1.0,2,M,,1,2,7.1,2.8,24.03,4.71,19.6,60,
97PR00569,T5704,1,02,41,96,1,1.0,2,M,,1,3+,7.1,2.8,22.5,3.89,17.3,62,
97PR00570,T5707,1,02,42,96,1,1.0,2,C,,2,2,7.0,2.8,23.01,4.97,21.6,62,
97PR00571,T5742,1,02,42,96,1,1.0,2,C,,1,3+,6.0,2.4,21.47,3.79,17.6,64,
97PR00572,T5756,1,02,42,96,1,1.0,2,C,,1,4-,6.8,2.7,21.55,4.73,21.9,64,
97PR00573,T5759,1,02,42,96,1,1.0,2,C,,1,3,7.3,2.9,23.57,4.69,19.9,60,
97PR00574,T5723,1,02,41,96,1,1.0,2,M,,1,2+,7.2,2.8,22.21,4.2,18.9,62,
97PR00575,T5790,1,02,42,96,1,1.0,2,C,,2,5+,6.8,2.7,24.97,5.83,23.3,58,
