UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,MICRON,SD,CV,CF,DIGR
03PR00001,01117,1,30,88,00,1,3.0,.,.,LIB,.,.,0.0,0.0,FIX tag 01117,P,LIB,LIB,X,oo,,,,,0
03PR00002,01541,1,06,68,00,1,3.0,.,.,LIB,.,.,0.0,0.0,Columbia Ram,P,LIB,LIB,X,oo,,,,,0
03PR00003,00744,1,30,88,00,1,3.0,.,.,LIB,.,.,0.0,0.0,Polypay Ram,P,LIB,LIB,X,oo,,,,,0
03PR00004,A6529,1,30,88,99,1,4.0,.,.,Nax,1,3+,8.3,3.3,SHORT STAPLE,1,.,B  3,X,60,,,,,60
03PR00005,A8193,1,30,81,01,1,2.0,.,.,D3,1,2+,9.0,3.5,,1,Pre,Lww,X,58,,,,,58
03PR00006,A8038,1,30,81,00,1,3.0,.,.,LIB,.,.,0.0,0.0,RCVR<,P,LIB,LWW2,X,oo,,,,,0
03PR00007,A8075,1,30,82,00,1,3.0,.,.,LIB,.,.,0.0,0.0,,S,-3-,LIB,X,oo,,,,,0
03PR00008,A8315,1,30,81,01,1,2.0,.,.,.,1,1-,12.0,4.7,,1,31P,Lww,X,60,,,,,60
03PR00009,A8331,1,30,82,01,1,2.0,.,.,LIB,.,.,0.0,0.0,H2,4,LIB,Ctrl,X,oo,,,,,0
03PR00010,A8337,1,30,82,01,1,2.0,.,.,D3,2,2-,8.0,3.1,,1,Pre,Ctrl,X,60,,,,,60
03PR00011,A8325,1,30,84,01,1,2.0,.,.,LIB,.,.,0.0,0.0,,4,LIB,Inbr,X,oo,,,,,0
03PR00012,A8379,1,30,83,01,1,2.0,.,.,.,1,2,9.5,3.7,,1,e11,Flwt,X,56,,,,,56
