UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
19PR00001,A0002,2,30,,18,1.0,2.0,5.0,2,1,.,22.9,3.9,16.9,96.1,
19PR00002,A0003,2,30,,18,1.0,3.6,9.2,3+,1,.,,,,,
19PR00003,A0005,2,30,,18,1.0,2.2,5.7,1-,1,.,26.5,4.5,16.8,84.1,
19PR00004,A0006,2,30,,18,1.0,2.0,5.0,1-,1,.,24.5,4.8,19.5,91.6,
19PR00005,A0007,2,30,,18,1.0,2.8,7.0,2+,1,.,25.2,5.1,20.0,86.5,
19PR00006,A0009,2,30,,18,1.0,2.9,7.3,2-,1,.,34.1,8.2,24.0,37.3,
19PR00007,A0012,1,30,,18,1.0,2.9,7.4,3+,2,Scurs,18.3,3.1,17.2,100.0,
19PR00008,A0013,1,30,,18,1.0,3.3,8.4,3,1,Nice!,26.9,5.7,21.3,74.5,
19PR00009,A0016,2,30,,18,1.0,2.8,7.0,2-,1,.,24.7,4.6,18.7,89.0,
19PR00010,A0017,2,30,,18,1.0,3.1,7.9,2+,1,.,27.4,5.3,19.5,75.3,
19PR00011,A0023,2,30,,18,1.0,3.3,8.3,2,1,.,26.9,4.5,16.8,79.8,
19PR00012,A0024,2,30,,18,1.0,3.3,8.3,3+,1,.,26.1,4.9,18.6,83.0,
19PR00013,A0025,2,30,,18,1.0,3.1,8.0,3+,1,HAIRY,25.3,3.9,15.4,91.6,
19PR00014,A0026,2,30,,18,1.0,3.5,8.8,1-,1,PINK,27.2,6.1,22.4,69.8,
19PR00015,A0030,2,30,,18,1.0,2.8,7.1,2-,1,.,25.3,3.8,15.1,91.3,
19PR00016,A0032,2,30,,18,1.0,2.2,5.5,2+,1,PINK,27.4,5.2,19.1,73.9,
19PR00017,A0035,2,30,,18,1.0,2.6,6.6,3+,1,.,27.6,4.5,16.3,76.6,
19PR00018,A0036,1,30,,18,1.0,2.1,5.4,3+,2,Scurs,24.6,4.8,19.5,89.6,
19PR00019,A0038,1,30,,18,1.0,2.5,6.4,3+,2,Scurs,23.8,4.4,18.4,92.6,
19PR00020,A0039,1,30,,18,1.0,3.1,8.0,3-,3,Scurs,24.8,5.0,20.0,86.2,
19PR00021,A0049,2,30,,18,1.0,3.8,9.6,2,1,PINK,30.1,6.8,22.7,55.2,
19PR00022,A0051,1,30,,18,1.0,2.4,6.0,2-,2,Scurs,24.8,4.5,18.0,90.5,
19PR00023,A0052,2,30,,18,1.0,3.1,7.8,2-,1,PINK,23.8,4.2,17.6,94.1,
19PR00024,A0056,2,30,,18,1.0,2.5,6.4,2,1,2ND,26.3,4.7,17.9,83.5,
19PR00025,A0059,2,30,,18,1.0,3.3,8.3,3+,1,.,29.9,6.4,21.4,54.8,
19PR00026,A0060,2,30,,18,1.0,3.5,9.0,1-,1,.,27.2,5.4,19.9,74.8,
19PR00027,A0061,2,30,,18,1.0,3.3,8.3,2,1,PINK,26.5,4.3,16.1,85.6,
19PR00028,A0064,1,30,,18,1.0,3.1,8.0,2+,2,Scurs,27.2,5.3,19.4,75.0,
19PR00029,A0066,2,30,,18,1.0,3.7,9.4,3+,1,.,27.8,6.8,24.5,63.7,
19PR00030,A0069,2,30,,18,1.0,2.9,7.4,3+,1,.,25.4,4.7,18.4,86.3,
19PR00031,A0070,2,30,,18,1.0,3.1,7.9,3-,1,.,26.5,4.6,17.3,82.7,
19PR00032,A0072,2,30,,18,1.0,3.0,7.7,3+,1,PINK.UGLY,26.3,4.7,18.0,82.7,
19PR00033,A0073,2,30,,18,1.0,3.7,9.4,2-,1,.,25.1,5.2,20.9,83.6,
19PR00034,A0074,2,30,,18,1.0,2.9,7.4,1-,1,.,27.3,5.3,19.3,72.8,
19PR00035,A0076,2,30,,18,1.0,2.8,7.1,2-,1,.,,,,,
19PR00036,A0077,2,30,,18,1.0,2.8,7.2,2+,1,.,25.5,4.7,18.5,87.5,
19PR00037,A0078,2,30,,18,1.0,2.9,7.4,2,1,.,23.3,3.8,16.4,96.3,
19PR00038,A0081,2,30,,18,1.0,3.0,7.7,3+,1,.,31.8,7.1,22.4,44.9,
19PR00039,A0089,2,30,,18,1.0,3.0,7.5,2,1,.,29.5,6.6,22.4,59.5,
19PR00040,A0093,1,30,,18,1.0,2.4,6.0,3-,1,.,26.8,4.8,17.7,79.2,
19PR00041,A0094,2,30,,18,1.0,2.6,6.6,1-,1,.,26.6,4.4,16.6,82.7,
19PR00042,A0100,1,30,,18,1.0,2.8,7.2,3,2,Scurs,24.9,5.1,20.6,87.7,
19PR00043,A0103,2,30,,18,1.0,3.0,7.6,3,1,ScoursTx,27.8,6.0,21.7,68.4,
19PR00044,A0106,2,30,,18,1.0,2.6,6.5,2-,1,RespTx,28.8,5.7,19.6,61.4,
19PR00045,A0107,1,30,,18,1.0,2.9,7.3,3+,2,Scurs,26.5,5.8,22.0,77.2,
19PR00046,A0110,2,30,,18,1.0,3.5,8.8,3,1,.,29.4,7.3,24.8,60.4,
19PR00047,A0112,1,30,,18,1.0,3.5,8.8,2-,2,Scurs,24.4,4.3,17.7,92.2,
19PR00048,A0113,2,30,,18,1.0,2.8,7.0,1-,1,.,28.0,5.4,19.4,69.7,
19PR00049,A0118,1,30,,18,1.0,3.3,8.4,3+,2,Scurs,19.2,3.9,20.3,99.4,
19PR00050,A0120,2,30,,18,1.0,3.0,7.6,1-,1,.,25.4,4.3,17.0,88.5,
19PR00051,A0121,2,30,,18,1.0,2.0,5.1,1-,1,.,22.6,3.7,16.2,97.5,
19PR00052,A0124,2,30,,18,1.0,4.0,10.2,3+,1,.,28.3,6.9,24.4,66.0,
19PR00053,A0128,2,30,,18,1.0,2.6,6.5,2-,1,ScoursTx,28.9,5.9,20.6,64.0,
19PR00054,A0132,2,30,,18,1.0,3.5,8.9,3+,1,2ND.UGLY,27.7,5.0,18.0,73.8,
19PR00055,A0134,2,30,,18,1.0,3.1,8.0,1-,1,PINK.EARS,28.1,5.0,17.6,70.8,
19PR00056,A0136,2,30,,18,1.0,2.8,7.2,2+,1,.,30.6,5.7,18.5,49.3,
19PR00057,A0137,2,30,,18,1.0,2.9,7.4,1-,1,.,,,,,
19PR00058,A0142,2,30,,18,1.0,2.9,7.4,1-,1,.,24.9,3.8,15.1,93.8,
19PR00059,A0144,2,30,,18,1.0,2.9,7.4,3+,1,NWBLameRF,25.5,4.6,17.9,85.6,
19PR00060,A0148,2,30,,18,1.0,3.1,7.8,3+,1,.,27.5,4.8,17.5,74.2,
19PR00061,A0149,2,30,,18,1.0,2.8,7.0,3+,1,IncRR&TempTx,33.0,6.7,20.2,35.0,
19PR00062,A0152,1,30,,18,1.0,2.8,7.2,2+,1,.,24.8,4.0,16.3,92.2,
19PR00063,A0155,2,30,,18,1.0,2.9,7.4,3+,1,UGLY,,,,,
19PR00064,A0156,1,30,,18,1.0,2.5,6.4,3,2,ScursPinkEyes,25.9,4.8,18.5,83.3,
19PR00065,A0158,2,30,,18,1.0,2.6,6.6,2,1,PINK  ScoursT,24.9,4.0,15.9,92.2,
19PR00066,A0159,2,30,,18,1.0,4.4,11.2,2-,1,.,28.5,5.1,17.9,67.6,
19PR00067,A0163,2,30,,18,1.0,2.9,7.4,3,1,PINK,26.2,4.5,17.1,84.6,
19PR00068,A0164,2,30,,18,1.0,2.9,7.4,3,1,.,29.8,5.1,17.2,56.9,
19PR00069,A0167,2,30,,18,1.0,3.7,9.5,2-,1,HAIRY,27.3,6.3,23.1,72.5,
19PR00070,A0168,2,30,,18,1.0,3.4,8.6,2-,1,.,30.9,5.2,16.9,47.7,
19PR00071,A0170,2,30,,18,1.0,3.3,8.3,2+,1,PINK,25.3,5.0,19.6,85.8,
19PR00072,A0173,2,30,,18,1.0,2.6,6.6,3+,1,ScoursTx,27.1,4.6,16.8,77.9,
19PR00073,A0175,2,30,,18,1.0,3.2,8.2,4+,1,.,31.2,6.7,21.6,48.8,
19PR00074,A0177,1,30,,18,1.0,2.9,7.4,3+,5,Horns,29.3,5.7,19.4,61.2,
19PR00075,A0179,2,30,,18,1.0,2.8,7.2,2-,1,HAIRY,25.0,4.7,18.8,86.7,
19PR00076,A0184,2,30,,18,1.0,2.7,6.8,3,1,.,30.6,5.8,19.1,50.2,
19PR00077,A0186,2,30,,18,1.0,3.3,8.5,1-,1,PINK,24.9,5.0,20.1,88.3,
19PR00078,A0187,2,30,,18,1.0,2.8,7.2,2-,1,.,28.5,4.9,17.4,66.6,
