UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,ORIENT,PDBHV,MIDX,FIDX,WORK,DISP,MICRON,SD,CV,CF,DIGR
04PR00319,R4070,1,07,18,03,1,1.0,0,.,7,3+,7.8,3.1,H7,1,.,Ramb,Y,64,YRLG,SAVE,0,0,0,,19.7,3.7,19.0,99.4,70
04PR00320,R4081,1,07,18,03,1,1.0,0,.,1,3-,7.9,3.1,,1,.,Ramb,Y,64,YRLG,SAVE,0,0,0,,19.9,3.0,15.2,99.5,70
04PR00321,R4091,1,07,18,03,1,1.0,0,.,4,3+,6.4,2.5,H4,1,.,Ramb,Y,64,YRLG,SAVE,0,0,0,,18.8,3.0,15.8,99.8,80
04PR00322,R4093,1,07,18,03,1,1.0,0,.,1,3-,7.2,2.8,,1,.,Ramb,Y,62,YRLG,SAVE,0,0,0,,21.4,3.4,15.8,98.9,64
04PR00323,R4110,1,07,18,03,1,1.0,0,.,1,5,6.0,2.4,,1,.,Ramb,Y,64,YRLG,SAVE,0,0,0,,20.4,4.0,19.7,98.4,70
04PR00324,R4131,1,07,18,03,1,1.0,0,.,1,3,7.8,3.1,,1,.,Ramb,Y,62,YRLG,SAVE,0,0,0,,21.0,3.3,15.8,99.0,64
04PR00325,R4133,1,07,18,03,1,1.0,0,.,1,3,6.2,2.4,,1,.,Ramb,Y,62,YRLG,SAVE,0,0,0,,21.6,3.6,16.7,97.7,64
04PR00326,R4146,1,07,18,03,1,1.0,0,.,1,3+,8.0,3.1,,1,.,Ramb,Y,64,YRLG,SAVE,0,0,0,,18.4,3.8,20.8,99.5,80
04PR00327,R4147,1,07,18,03,1,1.0,0,.,1,5,6.8,2.7,,1,.,Ramb,Y,62,YRLG,SAVE,0,0,0,,20.8,3.6,17.4,98.8,64
04PR00328,R4156,1,07,18,03,1,1.0,0,.,7,4,7.0,2.8,H7,1,.,Ramb,Y,64,YRLG,SAVE,0,0,0,,20.5,3.9,18.9,99.0,70
