UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,ORIENT,PDBHV,MIDX,FIDX,WORK,DISP,MICRON,SD,CV,CF,DIGR
04PR00222,R2465,1,07,12,01,1,3.0,2,BHV,.,.,0.0,0.0,,V,.,Ctrl,N,62,FOR.,+JNS+,0,0,W,,0.0,0.0,0.0,0.0,0
04PR00223,R2499,1,07,11,01,1,3.0,2,OSU,.,.,0.0,0.0,,V,.,Lww,N,62,DUD,+JNS+,0,0,W,,0.0,0.0,0.0,0.0,0
04PR00224,R2532,1,07,12,01,1,3.0,2,OSU,.,.,0.0,0.0,,V,.,Ctrl,N,62,DUD,+JNS+,90,94,W,,0.0,0.0,0.0,0.0,0
04PR00225,R2534,1,43,12,01,1,3.0,2,BHV,.,.,0.0,0.0,,V,.,Ctrl,N,62,DUD,+JNS+,0,0,W,,0.0,0.0,0.0,0.0,0
04PR00226,R2538,1,07,13,01,1,3.0,2,OSU,.,.,0.0,0.0,TEASER,V,TEA,Wool,N,62,TEAZ,+JNS+,0,0,W,,0.0,0.0,0.0,0.0,0
04PR00227,R2553,1,07,10,01,1,3.0,0,.,7,2,8.2,3.2,"F2,H7,54s",3,alt,Lww,Y,56,HETRO,MKT,104,93,W,93,29.1,4.9,16.7,64.0,54
04PR00228,R2554,1,07,10,01,1,3.0,0,.,7,3+,8.8,3.5,H7,1,alt,Lww,Y,62,HETRO,SAVE,104,98,W,,25.7,4.9,19.2,83.7,58
04PR00229,R2563,1,07,10,01,1,3.0,2,OSU,.,.,0.0,0.0,"TEASER, F4-",V,TEA,Lww,N,60,TEAZ,+JNS+,108,102,W,,0.0,0.0,0.0,0.0,0
04PR00230,R2564,1,43,13,01,1,3.0,2,OSU,.,.,0.0,0.0,,V,.,Sage,N,62,FOR.,OREGO,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00231,R2570,1,07,10,01,1,3.0,0,.,3,4+,8.4,3.3,NICE,1,e.5,Sage,Y,60,HETRO,SAVE,101,93,W,,24.9,3.6,14.3,93.0,60
04PR00232,R2577,1,43,12,01,1,3.0,2,OSU,.,.,0.0,0.0,F4-,3,.,Sage,N,62,DUD,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
04PR00233,R2579,1,43,12,01,1,3.0,2,OSU,.,.,0.0,0.0,BAD RF FOOT,V,.,Sage,N,62,HOMO,OREGO,101,94,W,93,0.0,0.0,0.0,0.0,0
04PR00234,R2600,1,43,13,01,1,3.0,0,.,2,2-,10.6,4.2,,1,34R,Wool,Y,58,HETRO,SAVE,101,109,W,,26.5,4.0,15.1,85.8,56
04PR00235,R2601,1,43,13,01,1,3.0,2,OSU,.,.,0.0,0.0,OSU / TEAZ?,V,TEA,Wool,N,62,DUD,+JNS+,104,103,W,,0.0,0.0,0.0,0.0,0
04PR00236,R2602,1,43,13,01,1,3.0,0,.,2,5+,10.4,4.1,F4-,1,alt,Wool,Y,60,HETRO,SAVE,104,100,W,,24.5,4.0,16.2,92.8,60
04PR00237,R2624,1,07,12,01,1,3.0,2,OSU,.,.,0.0,0.0,,3,.,Ctrl,N,62,???,MKT,0,0,W,93,0.0,0.0,0.0,0.0,0
