UID,ID,STM
14PR00001,H8002,30
14PR00002,H8052,30
14PR00003,H8061,30
14PR00004,H8066,30
14PR00005,H8070,30
14PR00006,H8093,30
14PR00007,H8130,30
14PR00008,H8137,30
14PR00009,H8175,30
14PR00010,H8202,30
14PR00011,H8210,30
14PR00012,H8273,30
14PR00013,H8288,30
14PR00014,H8290,30
14PR00015,H8311,30
14PR00016,H8327,30
14PR00017,H8376,30
14PR00018,H8387,30
14PR00019,H8420,30
14PR00020,K4939,06
14PR00021,K4942,06
14PR00022,K4944,06
14PR00023,K4952,06
14PR00024,K4955,06
14PR00025,K4958,06
14PR00026,K4960,06
14PR00027,K4962,06
14PR00028,K4964,06
14PR00029,K4966,06
14PR00030,K4969,06
14PR00031,K4995,06
14PR00032,L1069,PC
14PR00033,L1127,PC
14PR00034,L1151,PC
14PR00035,L1175,PC
14PR00036,L1221,PC
14PR00037,L1288,PC
14PR00038,L1324,PC
14PR00039,L1339,PC
14PR00040,L1368,PC
14PR00041,L1441,PC
14PR00042,R9572,07
14PR00043,R9573,07
14PR00044,R9596,07
14PR00045,R9597,07
14PR00046,R9600,07
14PR00047,R9612,07
14PR00048,R9647,07
14PR00049,R9656,07
14PR00050,R9713,07
14PR00051,R9734,07
14PR00052,R9746,07
14PR00053,R9757,07
14PR00054,R9825,07
14PR00055,R9829,07
14PR00056,R9838,07
14PR00057,R9841,07
14PR00058,R9922,07
14PR00059,R9928,07
14PR00060,R9949,07
14PR00061,T4725,02
14PR00062,T4732,02
14PR00063,T4776,02
14PR00064,T4825,02
14PR00065,T4840,02
14PR00066,T4854,02
14PR00067,T4884,02
14PR00068,T4891,02
14PR00069,T4948,02
14PR00070,T4950,02
14PR00071,T4965,02
14PR00072,T5017,02
14PR00073,T5035,02
14PR00074,T5045,02
14PR00075,T5058,02
14PR00076,T5198,02
14PR00077,T5227,02
14PR00078,T5233,02
14PR00079,T5269,02
14PR00080,Z1475,97
14PR00081,Z1483,97
14PR00082,Z1488,97
14PR00083,Z1490,CS
14PR00084,Z1491,97
14PR00085,Z1495,97
14PR00086,Z1506,SC
14PR00087,Z1508,97
14PR00088,Z1511,97
14PR00089,Z1512,97
14PR00090,Z1513,97
14PR00091,Z1514,CS
14PR00092,Z1524,97
14PR00093,Z1542,SC
14PR00094,Z1543,SC
14PR00095,Z1552,CS
14PR00096,Z1555,SC
14PR00097,Z1559,CS
14PR00098,Z1563,CM
14PR00099,Z1564,97
14PR00100,Z1581,CM
14PR00101,Z1583,97
14PR00102,Z1598,CM
14PR00103,Z1601,SC
14PR00104,Z1607,97
14PR00105,Z1650,CM
14PR00106,Z1658,97
14PR00107,Z1665,SC
14PR00108,Z1682,97
14PR00109,Z1702,CM
14PR00110,Z1715,CM
14PR00111,Z1721,97
14PR00112,Z1726,CS
14PR00113,Z1732,97
14PR00114,Z1753,97
14PR00115,Z1765,97
14PR00116,Z1780,SC
14PR00117,Z1788,97
14PR00118,Z1795,CS
14PR00119,Z1802,97
14PR00120,Z1823,CM
14PR00121,Z2066,00
