UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
98PR00001,K7819,1,05,00,95,1,3.0,0,H,...,3,2+,11.0,4.3,Cc HM! Cc,Y,32.35,6.11,18.9,48
98PR00002,K7838,1,05,00,95,1,3.0,0,H,...,2,3+,8.7,3.4,Cc HM Cc WEAK,Y,30.24,6.51,21.5,50
98PR00003,K8027,1,05,00,95,1,3.0,0,H,...,1,2+,11.5,4.5,Cc HM! Cc,Y,28.19,4.43,15.7,54
98PR00004,K8349,1,05,00,95,1,3.0,0,H,...,2,3,8.2,3.2,"X,R.EPI,""CC""",Y,25.33,4.6,18.1,58
98PR00005,K8363,1,05,00,95,1,3.0,0,H,...,2,1-,7.9,3.1,CC HOMOZY.CLR,Y,27.24,5.02,18.4,56
98PR00006,I4052,1,02,ID,94,1,4.0,I,,...,1,3+,8.2,3.2,Isaacs Ram,Y,19.59,3.51,17.9,70
98PR00007,A3129,1,30,81,96,1,2.0,0,M,...,2,2-,8.1,3.2,,Y,28.89,5.12,17.7,54
98PR00008,A3188,1,30,82,96,1,2.0,0,C,...,2,1-,8.0,3.1,3rd SEMEN =Q,Y,26.61,4.09,15.4,56
98PR00009,A3176,1,30,82,96,1,2.0,0,C,...,2,1-,7.3,2.9,,Y,22.5,3.93,17.5,62
98PR00010,A3033,1,30,82,96,1,2.0,0,C,...,2,1,9.0,3.5,,Y,32.5,5.75,17.7,48
98PR00011,A3032,1,30,81,96,1,2.0,0,M,...,2,1-,8.0,3.1,,Y,26.26,4.27,16.3,58
98PR00012,A3025,1,30,82,96,1,2.0,0,C,...,3,2+,8.2,3.2,H3,Y,27.7,5.69,20.5,56
98PR00013,A3085,1,30,82,96,1,2.0,0,C,...,1,3+,7.5,3.0,,Y,25.67,4.76,18.5,58
98PR00014,A3087,1,30,82,96,1,2.0,0,C,...,3,2+,9.3,3.7,,Y,27.18,5.17,19.0,56
98PR00015,A3079,1,30,81,96,1,2.0,0,M,...,1,1-,11.5,4.5,"SUSPECT,Bovis",Y,27.22,5.0,18.4,56
98PR00016,A3303,1,30,82,96,1,2.0,0,C,...,1,1-,7.8,3.1,NICE,Y,23.33,5.23,22.4,62
98PR00017,A3325,1,30,82,96,1,2.0,0,C,...,1,2,6.8,2.7,,Y,24.15,4.2,17.4,60
98PR00018,A3416,1,30,82,96,1,2.0,0,C,...,1,2+,8.1,3.2,,Y,24.84,4.47,18.0,60
98PR00019,A3401,1,30,82,96,1,2.0,0,C,...,2,1-,6.0,2.4,,Y,23.29,3.82,16.4,62
98PR00020,A3444,1,30,81,96,1,2.0,0,M,...,2,2,8.3,3.3,,Y,28.59,6.02,21.1,54
98PR00021,A3450,1,30,82,96,1,2.0,0,C,...,2,1,5.0,2.0,"X, PINK, UGLY",Y,25.51,4.35,17.0,58
98PR00022,A3453,1,30,82,96,1,2.0,0,C,...,2,2+,6.5,2.6,,Y,22.56,4.24,18.8,62
98PR00023,A3461,1,30,82,96,1,2.0,0,C,...,2,1-,7.5,3.0,,Y,27.71,5.34,19.3,56
98PR00024,A3467,1,30,81,96,1,2.0,0,M,...,3,2,8.5,3.3,NICE,Y,29.86,5.7,19.1,50
98PR00025,A3480,1,30,81,96,1,2.0,0,M,...,1,1-,9.5,3.7,"SM.TESTES,chk",Y,30.39,5.89,19.4,50
98PR00026,A3545,1,30,81,96,1,2.0,0,M,...,2,2+,8.5,3.3,,Y,27.45,5.05,18.4,56
98PR00027,A3552,1,30,82,96,1,2.0,0,C,...,2,1-,6.0,2.4,,Y,23.57,4.17,17.7,60
98PR00028,A3656,1,30,81,96,1,2.0,0,M,...,1,1-,9.0,3.5,,Y,27.97,4.64,16.6,54
98PR00029,A3205,1,30,81,96,1,2.0,0,M,...,1,2+,7.2,2.8,,Y,28.0,4.78,17.1,54
98PR00030,A3206,1,30,81,96,1,2.0,0,M,...,2,1-,8.0,3.1,,Y,27.48,5.23,19.0,56
98PR00031,A3234,1,30,81,96,1,2.0,0,M,...,2,2+,9.1,3.6,,Y,25.78,5.26,20.4,58
98PR00032,A2854,1,30,82,96,1,2.0,0,C,...,2,2+,8.0,3.1,,Y,27.43,4.9,17.9,56
98PR00033,A2858,1,30,82,96,1,2.0,0,C,...,2,1-,9.0,3.5,NICE,Y,28.35,4.89,17.3,54
98PR00034,A2883,1,30,82,96,1,2.0,0,C,...,1,2,7.5,3.0,"SUSPECT,Bovis",Y,27.61,5.52,20.0,56
98PR00035,A2871,1,30,81,96,1,2.0,0,M,...,2,2+,6.5,2.6,4TEATS,Y,27.62,5.23,18.9,56
98PR00036,A2914,1,30,82,96,1,2.0,0,C,...,1,1-,8.0,3.1,,Y,27.0,4.89,18.1,56
98PR00037,A2978,1,30,82,96,1,2.0,0,C,...,2,1-,10.0,3.9,w/Yrlg 3/16,Y,28.59,7.09,24.8,54
98PR00038,K8518,1,06,60,96,1,2.0,0,M,...,1,3+,10.5,4.1,,Y,26.38,6.28,23.8,58
98PR00039,K8517,2,06,60,96,1,2.0,0,M,...,.,..,9.8,3.9,,Y,27.39,5.82,21.3,56
98PR00040,K8534,2,06,61,96,1,2.0,0,R,...,.,..,9.2,3.6,BLK R KNEE OK,Y,29.39,7.35,25.0,50
98PR00041,K8542,2,06,61,96,1,2.0,7,R,LIM,.,..,9.6,3.8,MSG STAPLE,N,24.9,6.0,21.0,60
98PR00042,K8549,2,06,62,96,1,2.0,0,C,...,.,..,11.6,4.6,,Y,30.4,5.6,18.4,50
98PR00043,K8558,2,06,60,96,1,2.0,7,M,LIM,.,..,9.8,3.9,,y,29.12,4.85,16.7,54
98PR00044,K8520,2,06,61,96,1,2.0,0,R,...,.,..,0.0,0.0,MSG 03/16/98,N,0.0,0.0,0.0,
98PR00045,K8526,2,06,62,96,1,2.0,0,C,...,.,..,10.5,4.1,,Y,29.86,7.33,24.5,50
98PR00046,K8527,2,06,62,96,1,2.0,0,C,...,.,..,10.0,3.9,4TEATS,Y,26.17,5.31,20.3,58
98PR00047,K8596,1,05,00,96,1,2.0,0,H,...,5,3+,8.6,3.4,,Y,28.12,6.05,21.5,54
98PR00048,K8577,2,06,60,96,1,2.0,0,M,...,.,..,9.4,3.7,,Y,28.16,5.14,18.3,54
98PR00049,K8601,2,06,61,96,1,2.0,0,R,...,.,..,8.7,3.4,,Y,30.64,5.74,18.7,50
98PR00050,K8607,2,06,60,96,1,2.0,0,M,...,.,..,10.2,4.0,,Y,26.55,5.06,19.0,56
98PR00051,K8634,1,06,62,96,1,2.0,0,C,...,1,2+,10.2,4.0,MSG.JUNE'98,Y,28.75,4.62,16.1,54
98PR00052,K8651,1,06,60,96,1,2.0,0,M,...,2,2+,8.0,3.1,BIGLUMPNECK,Y,29.41,5.1,17.4,50
98PR00053,K8652,1,06,61,96,1,2.0,0,R,...,1,2,9.3,3.7,,Y,27.09,5.26,19.4,56
98PR00054,K8624,1,06,62,96,1,2.0,0,C,...,1,2,7.8,3.1,,Y,26.58,4.56,17.2,56
98PR00055,K8625,2,06,62,96,1,2.0,7,C,LIM,.,..,10.2,4.0,,y,27.51,4.59,16.7,56
98PR00056,K8626,2,06,60,96,1,2.0,0,M,...,.,..,9.5,3.7,,Y,30.23,5.64,18.6,50
98PR00057,K8698,2,06,61,96,1,2.0,0,R,...,.,..,10.5,4.1,4TEATS,Y,28.19,5.43,19.3,54
98PR00058,K8678,2,06,61,96,1,2.0,0,R,...,.,..,8.0,3.1,4TEATS,Y,26.64,4.7,17.6,56
98PR00059,K8811,1,06,60,96,1,2.0,0,M,...,1,2,8.2,3.2,,Y,28.15,5.43,19.3,54
98PR00060,K8801,2,06,60,96,1,2.0,0,M,...,.,..,0.0,0.0,MSG 03/16/98,N,0.0,0.0,0.0,
98PR00061,K8808,2,06,61,96,1,2.0,0,R,...,.,..,10.0,3.9,,Y,30.34,7.43,24.5,50
98PR00062,K8835,2,06,60,96,1,2.0,0,M,...,.,..,9.5,3.7,,Y,25.97,6.77,26.1,58
98PR00063,K8839,2,06,62,96,1,2.0,7,C,LIM,.,..,9.3,3.7,,y,25.79,4.34,16.8,58
98PR00064,K8851,2,06,60,96,1,2.0,0,M,...,.,..,8.6,3.4,4TEATS,Y,26.62,4.93,18.5,56
98PR00065,K8881,2,06,62,96,1,2.0,7,C,LIM,.,..,10.3,4.1,,y,24.93,4.79,19.2,60
98PR00066,K8901,1,06,62,96,1,2.0,0,C,...,1,2,9.2,3.6,,Y,26.02,4.62,17.7,58
98PR00067,K8900,2,06,62,96,1,2.0,0,C,...,.,..,10.0,3.9,,Y,27.13,5.97,22.0,56
98PR00068,K8941,2,06,62,96,1,2.0,0,C,...,.,..,10.3,4.1,,Y,27.12,6.0,22.1,56
98PR00069,K8942,2,06,62,96,1,2.0,0,C,...,.,..,8.5,3.3,4TEATS,Y,27.71,6.06,21.9,56
98PR00070,K8958,1,06,61,96,1,2.0,0,R,...,1,3+,8.8,3.5,,Y,27.5,5.39,19.6,56
98PR00071,K8959,2,06,61,96,1,2.0,0,R,...,.,..,11.0,4.3,,Y,26.65,4.33,16.3,56
98PR00072,K8969,2,06,61,96,1,2.0,7,R,LIM,.,..,12.6,5.0,4TEATS,y,26.92,4.11,15.3,56
98PR00073,K8922,1,06,62,96,1,2.0,0,C,...,2,2-,10.3,4.1,3rd SEMEN =E,Y,30.14,5.21,17.3,50
98PR00074,K8995,2,06,62,96,1,2.0,0,C,...,.,..,8.0,3.1,,Y,24.12,4.65,19.3,60
98PR00075,K8999,2,06,61,96,1,2.0,0,R,...,.,..,10.2,4.0,,Y,26.97,5.32,19.7,56
98PR00076,K8711,1,06,60,96,1,2.0,0,M,...,1,3+,10.2,4.0,,Y,29.46,6.43,21.9,50
98PR00077,K8712,1,06,60,96,1,2.0,0,M,...,1,2-,8.6,3.4,,Y,29.63,5.73,19.3,50
98PR00078,K8718,2,06,61,96,1,2.0,0,R,...,.,..,10.0,3.9,4TEATS,Y,27.25,4.86,17.8,56
98PR00079,K8705,2,06,60,96,1,2.0,0,M,...,.,..,10.0,3.9,"STIFF,GRAFTED",Y,26.82,4.81,18.0,56
98PR00080,K8735,2,06,62,96,1,2.0,0,C,...,.,..,8.5,3.3,4TEATS,Y,25.59,4.53,17.7,58
98PR00081,K8736,2,06,62,96,1,2.0,7,C,LIM,.,..,9.8,3.9,R.P.,y,28.21,5.36,19.0,54
98PR00082,K8743,2,06,61,96,1,2.0,7,R,LIM,.,..,9.0,3.5,4TEATS,y,27.31,4.86,17.8,56
98PR00083,K8744,1,06,60,96,1,2.0,0,M,...,2,2-,11.0,4.3,,Y,26.12,3.99,15.3,58
98PR00084,K8762,1,05,00,96,1,2.0,0,H,...,2,3,8.8,3.5,,Y,32.64,6.85,21.0,48
98PR00085,K8721,2,06,62,96,1,2.0,0,C,...,.,..,8.5,3.3,NICE,Y,28.12,5.41,19.2,54
98PR00086,K8723,1,06,62,96,1,2.0,0,C,...,1,3+,9.2,3.6,BLK.FIBERS,Y,24.04,4.95,20.6,60
98PR00087,K8785,2,06,60,96,1,2.0,0,M,...,.,..,10.0,3.9,,Y,28.7,4.92,17.1,54
98PR00088,K8788,1,06,61,96,1,2.0,0,R,...,1,2+,10.0,3.9,"SEMEN = Q,S",Y,26.54,5.78,21.8,56
98PR00089,K8771,2,06,62,96,1,2.0,0,C,...,.,..,10.6,4.2,,Y,29.98,5.53,18.5,50
98PR00090,K9115,1,06,60,96,1,2.0,0,M,...,2,2,10.7,4.2,,Y,28.43,5.74,20.2,54
98PR00091,K9104,1,06,62,96,1,2.0,0,C,...,1,3+,8.2,3.2,,Y,26.11,4.98,19.1,58
98PR00092,K9107,2,06,62,96,1,2.0,0,C,...,.,..,12.0,4.7,4TEATS,Y,27.47,5.33,19.4,56
98PR00093,K9133,1,06,62,96,1,2.0,0,C,...,1,3-,8.2,3.2,F3- .853adg,Y,28.14,5.17,18.4,54
98PR00094,K9127,2,06,61,96,1,2.0,7,R,LIM,.,..,12.2,4.8,,y,26.61,4.71,17.7,56
98PR00095,K9181,2,06,61,96,1,2.0,0,R,...,.,..,10.0,3.9,ENTR,Y,32.15,7.85,24.4,48
98PR00096,K9190,2,06,62,96,1,2.0,0,C,...,.,..,10.2,4.0,,Y,27.67,4.71,17.0,56
98PR00097,K9019,2,06,61,96,1,2.0,7,R,LIM,.,..,10.0,3.9,BRN EARS,y,24.14,4.57,19.0,60
98PR00098,K9001,1,06,61,96,1,2.0,0,R,...,1,2-,9.5,3.7,,Y,31.31,5.44,17.4,48
98PR00099,K9042,2,06,60,96,1,2.0,7,M,LIM,.,..,10.5,4.1,4TEATS,y,30.36,6.94,22.8,50
98PR00100,K9061,2,06,62,96,1,2.0,0,C,...,.,..,9.1,3.6,4TEATS,Y,30.76,5.22,17.0,50
98PR00101,K9024,2,06,60,96,1,2.0,7,M,LIM,.,..,10.2,4.0,,y,25.03,4.74,18.9,58
98PR00102,K9026,2,06,60,96,1,2.0,0,M,...,.,..,10.0,3.9,,Y,31.13,6.08,19.5,48
98PR00103,K9072,2,06,60,96,1,2.0,0,M,...,.,..,9.6,3.8,4TEATS,Y,30.63,6.62,21.6,50
98PR00104,K9000,1,06,61,96,1,2.0,0,R,...,1,2-,9.0,3.5,FIX BIG TAG,Y,28.09,4.91,17.5,54
98PR00105,S6581,1,43,12,96,1,2.0,0,C,...,7,2,8.6,3.4,H7+,Y,27.09,5.32,19.6,56
98PR00106,S6587,2,07,12,96,1,2.0,0,C,...,.,..,9.1,3.6,,Y,24.11,4.52,18.7,60
98PR00107,S6596,2,43,10,96,1,2.0,0,M,...,.,..,8.9,3.5,4TEATS,Y,23.62,3.95,16.7,60
98PR00108,S6592,2,43,13,96,1,2.0,0,F,...,.,..,8.8,3.5,,Y,25.1,4.78,19.1,58
98PR00109,S6571,2,07,12,96,1,2.0,0,C,...,.,..,7.3,2.9,,Y,22.47,4.06,18.0,62
98PR00110,S6573,1,42,10,96,1,2.0,0,M,...,4,3-,8.4,3.3,F5+ MSG.TEST!,Y,21.52,4.07,18.9,64
98PR00111,S6574,1,43,12,96,1,2.0,0,C,...,2,2-,7.0,2.8,,Y,23.08,4.77,20.7,62
98PR00112,S6575,1,43,12,96,1,2.0,0,C,...,7,3,7.0,2.8,H7,Y,21.57,3.88,18.0,64
98PR00113,S6613,2,07,11,96,1,2.0,0,R,...,.,..,7.4,2.9,,Y,26.1,5.44,20.8,58
98PR00114,S6603,2,07,10,96,1,2.0,0,M,...,.,..,9.0,3.5,HAIRY,Y,24.78,6.05,24.4,60
98PR00115,S6604,2,07,10,96,1,2.0,0,M,...,.,..,8.8,3.5,HAIRY,Y,23.61,4.27,18.1,60
98PR00116,S6631,2,07,11,96,1,2.0,0,R,...,.,..,6.5,2.6,,Y,22.68,3.84,16.9,62
98PR00117,S6630,2,07,10,96,1,2.0,0,M,...,.,..,8.0,3.1,BLOODY MILK@L,Y,23.97,4.62,19.3,60
98PR00118,S6640,2,43,13,96,1,2.0,0,F,...,.,..,9.5,3.7,,Y,24.72,5.02,20.3,60
98PR00119,S6648,2,43,13,96,1,2.0,0,F,...,.,..,8.9,3.5,,Y,21.56,3.61,16.7,64
98PR00120,S6647,2,43,13,96,1,2.0,0,F,...,.,..,8.5,3.3,4TEATS,Y,22.39,4.37,19.5,62
98PR00121,S6650,2,07,13,96,1,2.0,0,F,...,.,..,9.2,3.6,,Y,23.29,4.72,20.3,62
98PR00122,S6657,2,07,12,96,1,2.0,0,C,...,.,..,8.2,3.2,,Y,24.64,4.06,16.5,60
98PR00123,S6668,2,43,12,96,1,2.0,0,C,...,.,..,8.5,3.3,,Y,19.39,3.3,17.0,70
98PR00124,S6624,2,07,12,96,1,2.0,0,C,...,.,..,7.8,3.1,,Y,21.16,4.32,20.4,64
98PR00125,S6627,2,43,10,96,1,2.0,0,M,...,.,..,8.3,3.3,DYSTOCIA97,Y,22.87,4.62,20.2,62
98PR00126,S6681,2,43,12,96,1,2.0,0,C,...,.,..,8.5,3.3,,Y,26.59,4.49,16.9,56
98PR00127,S6684,1,07,12,96,1,2.0,0,C,...,4,3+,8.9,3.5,NICE 10/30/97,Y,25.86,4.4,17.0,58
98PR00128,S6682,2,07,12,96,1,2.0,0,C,...,.,..,7.2,2.8,4TEATS,Y,24.46,4.24,17.4,60
98PR00129,S6691,1,07,11,96,1,2.0,0,R,...,7,3,7.6,3.0,"H6,MSG 06/98",Y,22.66,4.84,21.4,62
98PR00130,S6695,2,43,10,96,1,2.0,0,M,...,.,..,9.5,3.7,4TEATS,Y,20.58,3.89,18.9,70
