UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,BGRP,GRP,SF,BPEN,TY3,TY5,FACE,SHOU,SIDE,HIP,GRAMS,RMK,YIELD,MICRON,STAPLE_CM,STAPLE_IN
93PR00018,K5571,1,06,68,91,1,2.0,,,,,,,2,71,75,0,0,,53.2,27.4,7.3,2.9
93PR00019,K5581,1,06,68,91,1,2.0,,,,,,,3,71,71,0,0,,58.0,29.7,7.1,2.8
93PR00020,K5608,1,06,68,91,1,2.0,,,,,,,3+,80,79,0,0,,63.3,31.9,8.0,3.1
93PR00021,K5632,1,06,68,91,1,2.0,,,,,,,2,81,82,0,0,,63.5,29.1,8.2,3.2
93PR00022,K5675,1,06,68,91,1,2.0,,,,,,,3+,70,70,0,0,,42.6,25.5,7.0,2.8
93PR00023,K5749,1,06,68,91,1,2.0,,,,,,,3+,80,79,0,0,,59.6,25.7,8.0,3.1
93PR00024,K5831,1,06,68,92,1,1.0,,,,,,,2-,63,66,0,0,,61.1,24.1,6.5,2.5
93PR00025,K5832,1,06,68,92,1,1.0,,,,,,,2,71,73,0,0,,59.4,25.8,7.2,2.8
93PR00026,K5850,1,06,68,92,1,1.0,,,,,,,3+,60,60,0,0,,51.6,24.5,6.0,2.4
93PR00027,K5901,1,06,68,92,1,1.0,,,,,,,,0,0,0,0,X.ORCHITIS,,,0.0,0.0
93PR00028,K5904,1,06,68,92,1,1.0,,,,,,,4+,62,66,0,0,,66.3,22.9,6.4,2.5
93PR00029,K5905,1,06,68,92,1,1.0,,,,,,,3+,66,78,0,0,,57.5,25.3,7.2,2.8
93PR00030,K5939,1,06,68,92,1,1.0,,,,,,,3+,70,73,0,0,,58.2,22.7,7.2,2.8
93PR00031,K5944,1,06,68,92,1,1.0,,,,,,,2-,70,70,0,0,,61.6,22.1,7.0,2.8
93PR00032,K5947,1,06,68,92,1,1.0,,,,,,,2,91,83,0,0,,59.6,22.7,8.7,3.4
93PR00033,K5951,1,06,68,92,1,1.0,,,,,,,3+,68,70,0,0,,61.5,24.6,6.9,2.7
93PR00034,K6000,1,06,68,92,1,1.0,,,,,,,3+,68,69,0,0,,62.0,20.9,6.9,2.7
93PR00035,K6019,1,06,68,92,1,1.0,,,,,,,4-,51,51,0,0,,54.9,25.5,5.1,2.0
93PR00036,K6020,1,06,68,92,1,1.0,,,,,,,2-,52,56,0,0,,55.9,22.5,5.4,2.1
93PR00037,K6032,1,06,68,92,1,1.0,,,,,,,2-,68,72,0,0,,63.9,21.9,7.0,2.8
93PR00038,K6033,1,06,68,92,1,1.0,,,,,,,2-,66,71,0,0,,68.4,23.4,6.9,2.7
93PR00039,K6035,1,06,68,92,1,1.0,,,,,,,3+,55,57,0,0,,52.9,25.2,5.6,2.2
93PR00040,K6050,1,06,68,92,1,1.0,,,,,,,4+,62,61,0,0,,58.2,22.2,6.2,2.4
93PR00041,K6052,1,06,68,92,1,1.0,,,,,,,2-,69,69,0,0,,60.0,23.1,6.9,2.7
93PR00042,K6059,1,06,68,92,1,1.0,,,,,,,3+,59,60,0,0,,54.3,23.2,6.0,2.3
93PR00043,K6088,1,06,68,92,1,1.0,,,,,,,3-,63,66,0,0,,62.0,21.5,6.5,2.5
93PR00044,K6089,1,06,68,92,1,1.0,,,,,,,4-,63,70,0,0,,62.2,23.5,6.7,2.6
93PR00045,K6102,1,06,68,92,1,1.0,,,,,,,2+,63,68,0,0,,55.6,21.4,6.6,2.6
93PR00046,K6106,1,06,68,92,1,1.0,,,,,,,3,60,62,0,0,,59.9,19.1,6.1,2.4
93PR00047,K6114,1,06,68,92,1,1.0,,,,,,,3,65,66,0,0,,49.0,23.6,6.6,2.6
93PR00048,K6117,1,06,68,92,1,1.0,,,,,,,3-,63,68,0,0,,53.8,24.0,6.6,2.6
93PR00049,K6130,1,06,68,92,1,1.0,,,,,,,3,60,62,0,0,,52.5,22.4,6.1,2.4
93PR00050,K6136,1,06,68,92,1,1.0,,,,,,,3,72,74,0,0,,60.6,22.6,7.3,2.9
93PR00051,K6144,1,06,68,92,1,1.0,,,,,,,3+,72,80,0,0,,59.8,23.1,7.6,3.0
93PR00052,K6157,1,06,68,92,1,1.0,,,,,,,3,70,70,0,0,,65.0,21.7,7.0,2.8
93PR00053,K6158,1,06,68,92,1,1.0,,,,,,,3,95,91,0,0,,56.4,21.1,9.3,3.7
93PR00054,K6168,1,06,68,92,1,1.0,,,,,,,3,70,72,0,0,,60.2,22.7,7.1,2.8
93PR00055,K6169,1,06,68,92,1,1.0,,,,,,,3+,63,64,0,0,,53.2,23.6,6.4,2.5
93PR00056,K6181,1,06,68,92,1,1.0,,,,,,,2-,60,58,0,0,,55.1,23.9,5.9,2.3
93PR00057,K6197,1,06,68,92,1,1.0,,,,,,,2,59,65,0,0,,60.5,21.5,6.2,2.4
93PR00058,K6209,1,06,68,92,1,1.0,,,,,,,2,62,64,0,0,,59.1,26.8,6.3,2.5
93PR00059,K6213,1,06,68,92,1,1.0,,,,,,,3-,75,80,0,0,,58.9,25.3,7.8,3.1
93PR00060,K6218,1,06,68,92,1,1.0,,,,,,,3+,62,64,0,0,,60.9,22.1,6.3,2.5
93PR00061,K6224,1,06,68,92,1,1.0,,,,,,,4,72,74,0,0,,63.2,23.4,7.3,2.9
93PR00062,K6227,1,06,68,92,1,1.0,,,,,,,5+,72,72,0,0,,71.2,27.0,7.2,2.8
93PR00063,K6230,1,06,68,92,1,1.0,,,,,,,2,74,79,0,0,,57.4,22.7,7.7,3.0
93PR00064,K6241,1,06,68,92,1,1.0,,,,,,,2-,72,73,0,0,,65.8,24.7,7.3,2.9
93PR00065,K6247,1,06,68,92,1,1.0,,,,,,,3+,68,69,0,0,,67.8,21.4,6.9,2.7
93PR00066,K6255,1,06,68,92,1,1.0,,,,,,,3+,68,70,0,0,,56.5,21.9,6.9,2.7
93PR00067,K6261,1,06,68,92,1,1.0,,,,,,,3+,61,64,0,0,,56.1,23.9,6.3,2.5
93PR00068,K6272,1,06,68,92,1,1.0,,,,,,,4+,63,68,0,0,,59.8,22.7,6.6,2.6
93PR00069,K6280,1,06,68,92,1,1.0,,,,,,,2-,62,65,0,0,,55.4,20.9,6.4,2.5
93PR00070,K6283,1,06,68,92,1,1.0,,,,,,,2-,58,60,0,0,,55.6,20.7,5.9,2.3
93PR00071,K6286,1,06,68,92,1,1.0,,,,,,,2,71,73,0,0,,57.9,22.8,7.2,2.8
93PR00072,K6298,1,06,68,92,1,1.0,,,,,,,3,80,81,0,0,,59.8,23.1,8.1,3.2
93PR00073,K6304,1,06,68,92,1,1.0,,,,,,,3+,70,75,0,0,,56.9,25.1,7.3,2.9
93PR00074,K6315,1,06,68,92,1,1.0,,,,,,,2-,64,67,0,0,,54.2,21.7,6.6,2.6
93PR00075,K6338,1,06,68,92,1,1.0,,,,,,,2-,64,64,0,0,,50.3,22.1,6.4,2.5
93PR00076,K6344,1,06,68,92,1,1.0,,,,,,,2,63,65,0,0,,59.2,20.6,6.4,2.5
93PR00077,K6347,1,06,68,92,1,1.0,,,,,,,4+,64,66,0,0,,56.8,25.6,6.5,2.6
93PR00078,K6382,1,06,68,92,1,1.0,,,,,,,3-,57,56,0,0,,59.4,24.3,5.7,2.2
93PR00079,K6407,1,06,68,92,1,1.0,,,,,,,3,66,69,0,0,,57.3,21.1,6.8,2.7
93PR00080,K6408,1,06,68,92,1,1.0,,,,,,,4-,67,74,0,0,,65.3,23.5,7.1,2.8
93PR00081,K6410,1,06,68,92,1,1.0,,,,,,,2-,52,55,0,0,,55.6,20.4,5.4,2.1
93PR00082,K6411,1,06,68,92,1,1.0,,,,,,,3+,68,71,0,0,,58.7,21.9,7.0,2.7
93PR00083,K6414,1,06,68,92,1,1.0,,,,,,,2-,58,60,0,0,,55.9,22.5,5.9,2.3
93PR00084,K6421,1,06,68,92,1,1.0,,,,,,,3+,63,66,0,0,,62.3,21.9,6.5,2.5
93PR00085,K6444,1,06,68,92,1,1.0,,,,,,,2-,65,65,0,0,,56.9,20.8,6.5,2.6
93PR00086,K6456,1,06,68,92,1,1.0,,,,,,,3+,66,68,0,0,,64.5,21.7,6.7,2.6
93PR00087,K6472,1,06,68,92,1,1.0,,,,,,,3,59,65,0,0,,57.0,24.3,6.2,2.4
93PR00088,K6495,1,06,68,92,1,1.0,,,,,,,3-,68,71,0,0,,59.1,22.8,7.0,2.7
93PR00089,K6514,1,06,68,92,1,1.0,,,,,,,3+,61,61,0,0,,57.2,23.9,6.1,2.4
93PR00090,K6528,1,06,68,92,1,1.0,,,,,,,3-,62,62,0,0,,56.5,23.7,6.2,2.4
93PR00091,K6536,1,06,68,92,1,1.0,,,,,,,3+,61,62,0,0,,54.9,20.9,6.2,2.4
93PR00092,K6553,1,06,68,92,1,1.0,,,,,,,3,80,81,0,0,,64.9,20.7,8.1,3.2
93PR00093,K6573,1,06,68,92,1,1.0,,,,,,,3,62,56,0,0,,50.6,22.6,5.9,2.3
93PR00094,K6582,1,06,68,92,1,1.0,,,,,,,3+,73,75,0,0,,55.5,21.3,7.4,2.9
93PR00095,L1455,2,30,72,87,2,5.5,F,,F,F93,2,2.0,,29,30,0,0,,,,7.6,3.0
93PR00096,L1678,2,30,72,87,2,5.5,F,,F,F93,2,2.0,,27,26,0,0,,,,6.9,2.7
93PR00097,L2578,2,30,73,88,2,4.5,F,,F,F93,3,2.0,,35,35,0,0,,,,8.9,3.5
93PR00098,L2880,2,30,73,88,2,4.5,F,,F,F93,2,2.0,,27,24,0,0,,,,6.6,2.6
93PR00099,L2937,2,30,73,88,2,4.5,F,,F,F93,2,2.0,,28,27,0,0,,,,7.1,2.8
93PR00100,L3064,2,30,72,88,2,4.5,F,,F,F93,2,2.0,,32,32,0,0,FIBERBAG,,,8.1,3.2
93PR00101,L4429,2,30,72,89,2,3.5,F,,F,F93,2,2.0,,31,29,0,0,,,,7.6,3.0
93PR00102,L4463,2,30,72,89,2,3.5,F,,F,F93,2,2.0,,27,28,0,0,,,,7.1,2.8
93PR00103,L4489,2,30,72,89,2,3.5,F,,F,F93,2,2.0,,28,28,0,0,,,,7.1,2.8
93PR00104,L4573,2,30,73,89,2,3.5,F,,F,F93,3,2.0,,27,28,0,0,,,,7.1,2.8
93PR00105,L4620,2,07,10,89,2,3.5,F,,F,F93,1,0.0,,0,0,0,0,,,,0.0,0.0
93PR00106,L5345,1,30,80,90,1,3.0,,,,,,,2+,66,68,0,0,,69.0,26.1,6.7,2.6
93PR00107,L5907,1,30,73,90,2,2.5,,,,,,,2,60,60,0,0,,60.4,30.0,6.0,2.4
93PR00108,L6017,1,30,73,90,2,2.5,,,,,,,1-,72,70,0,0,,76.2,29.8,7.1,2.8
93PR00109,L6028,1,30,73,90,2,2.5,,,,,,,2,69,70,0,0,,83.1,31.1,7.0,2.7
93PR00110,L6044,1,30,73,90,2,2.5,,,,,,,2-,72,75,0,0,,77.2,27.4,7.4,2.9
93PR00111,L6113,1,30,73,90,2,2.5,,,,,,,2,70,72,0,0,,77.3,30.3,7.1,2.8
93PR00112,L6135,1,30,73,90,2,2.5,,,,,,,2,80,78,0,0,,77.9,27.1,7.9,3.1
93PR00113,L6202,1,30,72,90,2,2.5,,,,,,,2-,73,78,0,0,,81.1,29.5,7.6,3.0
93PR00114,L6448,1,30,72,90,2,2.5,,,,,,,2+,68,68,0,0,,69.3,27.8,6.8,2.7
93PR00115,L6678,1,30,83,91,1,2.0,,,,,,,2+,61,62,0,0,,55.3,29.1,6.2,2.4
93PR00116,L6734,1,30,82,91,1,2.0,,,,,,,3-,62,64,0,0,,73.9,25.9,6.3,2.5
93PR00117,L6749,1,30,83,91,1,2.0,,,,,,,2,68,73,0,0,,69.7,25.2,7.1,2.8
93PR00118,L6773,1,30,80,91,1,2.0,,,,,,,2-,70,62,0,0,,51.9,24.2,6.6,2.6
93PR00119,L6784,1,30,82,91,1,2.0,,,,,,,2-,72,75,0,0,,79.3,28.8,7.4,2.9
93PR00120,L6840,1,30,83,91,1,2.0,,,,,,,2+,70,64,0,0,,68.1,25.0,6.7,2.6
93PR00121,L6849,1,30,83,91,1,2.0,,,,,,,2,70,70,0,0,,52.3,27.6,7.0,2.8
93PR00122,L6853,1,30,81,91,1,2.0,,,,,,,3+,70,71,0,0,,78.5,27.1,7.1,2.8
93PR00123,L6872,1,30,81,91,1,2.0,,,,,,,2+,62,63,0,0,,71.7,26.6,6.3,2.5
93PR00124,L6874,1,30,81,91,1,2.0,,,,,,,2,69,72,0,0,,55.1,24.5,7.1,2.8
93PR00125,L7042,1,30,81,91,1,2.0,,,,,,,2,67,68,0,0,,68.7,26.7,6.8,2.7
93PR00126,L7088,1,30,82,91,1,2.0,,,,,,,2,70,76,0,0,,72.7,27.1,7.3,2.9
93PR00127,L7239,1,30,82,91,1,2.0,,,,,,,2,62,63,0,0,,74.8,24.3,6.3,2.5
93PR00128,L7324,1,30,81,91,1,2.0,,,,,,,2-,56,58,0,0,,64.6,24.6,5.7,2.2
93PR00129,L7349,1,30,81,91,1,2.0,,,,,,,2+,73,72,0,0,,75.6,25.2,7.3,2.9
93PR00130,L7384,1,30,81,91,1,2.0,,,,,,,2,59,61,0,0,,74.1,25.9,6.0,2.4
93PR00131,L7519,1,30,82,91,1,2.0,,,,,,,2+,61,61,0,0,,65.2,22.5,6.1,2.4
93PR00132,L7587,1,30,81,91,1,2.0,,,,,,,2,70,69,0,0,,80.2,30.0,7.0,2.7
93PR00133,L7600,1,30,83,91,1,2.0,,,,,,,2+,66,71,0,0,,67.9,29.3,6.9,2.7
93PR00134,L7659,1,30,83,91,1,2.0,,,,,,,3+,72,73,0,0,,73.3,27.1,7.3,2.9
93PR00135,L7704,1,30,82,91,1,2.0,,,,,,,2,53,55,0,0,,69.4,25.1,5.4,2.1
93PR00136,L7706,1,30,82,91,1,2.0,,,,,,,2+,66,70,0,0,,67.0,23.8,6.8,2.7
93PR00137,L7803,1,30,80,91,1,2.0,,,,,,,2+,68,68,0,0,,70.8,27.2,6.8,2.7
93PR00138,L7857,1,30,73,91,2,1.5,,,,,,,2,55,55,0,0,,66.2,20.9,5.5,2.2
93PR00139,L7866,1,30,73,91,2,1.5,,,,,,,1-,62,72,0,0,,70.2,24.5,6.7,2.6
93PR00140,L7904,1,30,73,91,2,1.5,,,,,,,3+,81,80,0,0,,65.1,28.6,8.1,3.2
93PR00141,L7906,1,30,73,91,2,1.5,,,,,,,3,60,60,0,0,,71.3,25.2,6.0,2.4
93PR00142,L7920,1,30,73,91,2,1.5,,,,,,,2,79,78,0,0,,69.0,24.3,7.9,3.1
93PR00143,L7929,1,30,73,91,2,1.5,,,,,,,2-,70,70,0,0,,79.2,26.2,7.0,2.8
93PR00144,L7955,1,30,73,91,2,1.5,,,,,,,2+,53,61,0,0,,64.0,27.5,5.7,2.2
93PR00145,L7987,1,30,73,91,2,1.5,,,,,,,2-,63,65,0,0,,66.9,28.2,6.4,2.5
93PR00146,L8000,1,30,73,91,2,1.5,,,,,,,3+,80,74,0,0,,80.4,27.5,7.7,3.0
93PR00147,L8039,1,30,73,91,2,1.5,,,,,,,2,64,67,0,0,,62.5,27.8,6.6,2.6
93PR00148,L8068,1,30,72,91,2,1.5,,,,,,,3+,62,63,0,0,,62.3,31.7,6.3,2.5
93PR00149,L8098,1,30,72,91,2,1.5,,,,,,,3-,64,66,0,0,,57.6,28.4,6.5,2.6
93PR00150,L8106,1,30,72,91,2,1.5,,,,,,,2,62,61,0,0,,66.6,24.9,6.2,2.4
93PR00151,L8113,1,30,72,91,2,1.5,,,,,,,2,68,69,0,0,,53.8,27.6,6.9,2.7
93PR00152,L8114,1,30,72,91,2,1.5,,,,,,,2,68,68,0,0,,72.3,26.2,6.8,2.7
93PR00153,L8117,1,30,72,91,2,1.5,,,,,,,2+,62,63,0,0,,68.2,24.1,6.3,2.5
93PR00154,L8118,1,30,72,91,2,1.5,,,,,,,2+,58,61,0,0,,71.1,22.2,6.0,2.3
93PR00155,L8131,1,30,72,91,2,1.5,,,,,,,2+,60,60,0,0,,72.2,24.1,6.0,2.4
93PR00156,L8150,1,30,72,91,2,1.5,,,,,,,2+,53,62,0,0,,67.1,22.9,5.8,2.3
93PR00157,L8151,1,30,72,91,2,1.5,,,,,,,2-,71,75,0,0,,59.6,26.8,7.3,2.9
93PR00158,L8165,1,30,72,91,2,1.5,,,,,,,3,79,78,0,0,,64.0,24.7,7.9,3.1
93PR00159,L8167,1,30,72,91,2,1.5,,,,,,,3+,62,65,0,0,,68.6,26.6,6.4,2.5
93PR00160,L8176,1,30,72,91,2,1.5,,,,,,,2-,73,72,0,0,,70.5,23.7,7.3,2.9
93PR00161,L8186,1,30,72,91,2,1.5,,,,,,,2+,74,73,0,0,,68.2,25.5,7.4,2.9
93PR00162,L8191,1,30,72,91,2,1.5,,,,,,,2,62,68,0,0,,69.6,23.5,6.5,2.6
93PR00163,L8192,1,30,72,91,2,1.5,,,,,,,2,65,71,0,0,,67.5,20.1,6.8,2.7
93PR00164,L8200,1,30,72,91,2,1.5,,,,,,,2,62,60,0,0,,60.2,24.7,6.1,2.4
93PR00165,L8208,1,30,73,91,2,1.5,,,,,,,2,71,70,0,0,,70.8,27.9,7.1,2.8
93PR00166,L8210,1,30,73,91,2,1.5,,,,,,,3-,70,72,0,0,,73.1,28.6,7.1,2.8
93PR00167,L8217,1,30,73,91,2,1.5,,,,,,,2+,92,92,0,0,,84.5,25.7,9.2,3.6
93PR00168,L8219,1,30,73,91,2,1.5,,,,,,,2+,82,82,0,0,,67.3,26.6,8.2,3.2
93PR00169,L8261,1,30,73,91,2,1.5,,,,,,,2-,63,66,0,0,,63.1,26.7,6.5,2.5
93PR00170,L8262,1,30,73,91,2,1.5,,,,,,,2,70,70,0,0,,56.0,27.1,7.0,2.8
93PR00171,L8268,1,30,72,91,2,1.5,,,,,,,2,59,64,0,0,,61.1,27.7,6.2,2.4
93PR00172,L8279,1,30,73,91,2,1.5,,,,,,,2,79,81,0,0,,76.5,26.3,8.0,3.1
93PR00173,L8280,1,30,73,91,2,1.5,,,,,,,2,102,100,0,0,,72.9,30.0,10.1,4.0
93PR00174,L8335,1,30,73,91,2,1.5,,,,,,,2,100,100,0,0,,70.8,27.5,10.0,3.9
93PR00175,L8430,1,30,81,92,1,1.0,,,,,,,2,61,64,0,0,,66.7,22.5,6.3,2.5
93PR00176,L8435,1,30,80,92,1,1.0,,,,,,,2,52,54,0,0,,70.4,21.2,5.3,2.1
93PR00177,L8444,1,30,81,92,1,1.0,,,,,,,2,59,64,0,0,,65.2,21.9,6.2,2.4
93PR00178,L8473,1,30,82,92,1,1.0,,,,,,,2+,60,62,0,0,,72.3,23.1,6.1,2.4
93PR00179,L8491,1,30,81,92,1,1.0,,,,,,,2,61,61,0,0,,67.9,21.5,6.1,2.4
93PR00180,L8500,1,30,82,92,1,1.0,,,,,,,3,56,57,0,0,,59.7,22.2,5.7,2.2
93PR00181,L8513,1,30,82,92,1,1.0,,,,,,,2-,63,63,0,0,,63.5,22.2,6.3,2.5
93PR00182,L8528,1,30,82,92,1,1.0,,,,,,,2,60,62,0,0,,62.0,23.2,6.1,2.4
93PR00183,L8529,1,30,82,92,1,1.0,,,,,,,2+,72,75,0,0,,,,7.4,2.9
93PR00184,L8551,1,30,81,92,1,1.0,,,,,,,2+,61,65,0,0,,66.1,23.0,6.3,2.5
93PR00185,L8584,1,30,80,92,1,1.0,,,,,,,2-,62,68,0,0,,73.1,20.6,6.5,2.6
93PR00186,L8585,1,30,80,92,1,1.0,,,,,,,2,53,58,0,0,,69.2,22.5,5.6,2.2
93PR00187,L8590,1,30,82,92,1,1.0,,,,,,,2+,68,66,0,0,,60.2,23.1,6.7,2.6
93PR00188,L8595,1,30,81,92,1,1.0,,,,,,,2,55,55,0,0,,69.9,22.5,5.5,2.2
93PR00189,L8602,1,30,82,92,1,1.0,,,,,,,2,72,70,0,0,,64.9,21.9,7.1,2.8
93PR00190,L8624,1,30,82,92,1,1.0,,,,,,,2,63,60,0,0,,72.3,21.4,6.2,2.4
93PR00191,L8625,1,30,82,92,1,1.0,,,,,,,2+,67,66,0,0,,74.4,21.8,6.7,2.6
93PR00192,L8626,1,30,82,92,1,1.0,,,,,,,3+,62,62,0,0,,57.2,22.4,6.2,2.4
93PR00193,L8638,1,30,80,92,1,1.0,,,,,,,2,72,75,0,0,,66.7,22.4,7.4,2.9
93PR00194,L8644,1,30,81,92,1,1.0,,,,,,,2+,63,65,0,0,,69.9,22.9,6.4,2.5
93PR00195,L8653,1,30,80,92,1,1.0,,,,,,,2,61,55,0,0,,60.8,24.8,5.8,2.3
93PR00196,L8662,1,30,82,92,1,1.0,,,,,,,2-,64,66,0,0,,75.7,19.5,6.5,2.6
93PR00197,L8673,1,30,82,92,1,1.0,,,,,,,1-,50,50,0,0,,58.9,21.9,5.0,2.0
93PR00198,L8711,1,30,82,92,1,1.0,,,,,,,2-,58,63,0,0,,68.5,20.4,6.1,2.4
93PR00199,L8712,1,30,82,92,1,1.0,,,,,,,2+,58,59,0,0,,67.0,20.7,5.9,2.3
93PR00200,L8721,1,30,80,92,1,1.0,,,,,,,2-,59,60,0,0,,59.5,23.2,6.0,2.3
93PR00201,L8722,1,30,80,92,1,1.0,,,,,,,3+,66,65,0,0,,66.0,24.9,6.6,2.6
93PR00202,L8765,1,30,82,92,1,1.0,,,,,,,2-,60,61,0,0,,64.4,24.0,6.1,2.4
93PR00203,L8767,1,30,82,92,1,1.0,,,,,,,2+,55,60,0,0,,72.4,20.0,5.8,2.3
93PR00204,L8773,1,30,80,92,1,1.0,,,,,,,2,64,64,0,0,,70.0,21.8,6.4,2.5
93PR00205,L8774,1,30,80,92,1,1.0,,,,,,,1-,78,72,0,0,,74.4,20.9,7.5,3.0
93PR00206,L8788,1,30,80,92,1,1.0,,,,,,,2,64,64,0,0,,64.8,22.4,6.4,2.5
93PR00207,L8822,1,30,82,92,1,1.0,,,,,,,2+,62,63,0,0,,72.7,19.2,6.3,2.5
93PR00208,L8842,1,30,82,92,1,1.0,,,,,,,2,50,50,0,0,,67.2,24.6,5.0,2.0
93PR00209,L8849,1,30,80,92,1,1.0,,,,,,,1-,61,61,0,0,,64.2,22.4,6.1,2.4
93PR00210,L8881,1,30,81,92,1,1.0,,,,,,,2,61,61,0,0,,66.3,23.4,6.1,2.4
93PR00211,L8903,1,30,82,92,1,1.0,,,,,,,2,50,55,0,0,,52.0,22.0,5.3,2.1
93PR00212,L8913,1,30,80,92,1,1.0,,,,,,,2,60,58,0,0,,72.9,19.5,5.9,2.3
93PR00213,L8945,1,30,81,92,1,1.0,,,,,,,2+,66,68,0,0,,65.0,17.7,6.7,2.6
93PR00214,L8958,1,30,80,92,1,1.0,,,,,,,3,65,72,0,0,,63.6,20.1,6.9,2.7
93PR00215,L8959,1,30,80,92,1,1.0,,,,,,,2-,52,52,0,0,,65.0,18.2,5.2,2.0
93PR00216,L8982,1,30,82,92,1,1.0,,,,,,,2,62,64,0,0,,67.0,21.6,6.3,2.5
93PR00217,L8995,1,30,80,92,1,1.0,,,,,,,3+,62,63,0,0,,59.6,20.4,6.3,2.5
93PR00218,L9026,1,30,81,92,1,1.0,,,,,,,3+,71,71,0,0,,72.5,22.4,7.1,2.8
93PR00219,L9055,1,30,80,92,1,1.0,,,,,,,2,52,52,0,0,,68.1,19.0,5.2,2.0
93PR00220,L9096,1,30,80,92,1,1.0,,,,,,,2+,65,65,0,0,,67.2,22.8,6.5,2.6
93PR00221,L9097,1,30,80,92,1,1.0,,,,,,,2,62,60,0,0,,65.4,20.6,6.1,2.4
93PR00222,L9168,1,30,81,92,1,1.0,,,,,,,2+,56,61,0,0,,64.8,20.6,5.9,2.3
93PR00223,L9199,1,30,82,92,1,1.0,,,,,,,2,52,58,0,0,,66.6,24.3,5.5,2.2
93PR00224,L9207,1,30,80,92,1,1.0,,,,,,,2,52,55,0,0,,61.9,22.7,5.4,2.1
93PR00225,L9227,1,30,80,92,1,1.0,,,,,,,2,71,70,0,0,,70.6,21.6,7.1,2.8
93PR00226,L9230,1,30,82,92,1,1.0,,,,,,,2-,72,77,0,0,,70.2,24.0,7.5,2.9
93PR00227,L9273,1,30,82,92,1,1.0,,,,,,,2+,60,64,0,0,,64.9,23.6,6.2,2.4
93PR00228,L9289,1,30,81,92,1,1.0,,,,,,,2,77,79,0,0,,75.4,23.7,7.8,3.1
93PR00229,L9337,1,30,81,92,1,1.0,,,,,,,2,73,73,0,0,,79.9,22.5,7.3,2.9
93PR00230,L9338,1,30,81,92,1,1.0,,,,,,,2+,58,56,0,0,,79.0,21.0,5.7,2.2
93PR00231,L9343,1,30,81,92,1,1.0,,,,,,,2-,70,72,0,0,,68.4,22.5,7.1,2.8
93PR00232,S0011,2,07,18,89,1,4.0,A,1,S,TXL,2,2.0,,0,0,0,0,,,,0.0,0.0
93PR00233,S0017,2,07,18,89,1,4.0,1,,S, 21,2,0.0,,30,37,0,0,,,,8.6,3.4
93PR00234,S0023,2,07,18,89,1,4.0,A,3,S,338,2,2.0,,0,0,0,0,,,,0.0,0.0
93PR00235,S0024,2,07,18,89,1,4.0,1,,S, 11,0,0.0,,23,22,0,0,,,,5.8,2.3
93PR00236,S0025,2,07,18,89,1,4.0,1,,S, 31,2,2.0,,0,0,0,0,,,,0.0,0.0
93PR00237,S0031,2,07,18,89,1,4.0,1,,S, 22,1,1.0,,0,0,0,0,,,,0.0,0.0
93PR00238,S0032,2,07,18,89,1,4.0,A,2,S,208,3,1.0,,0,0,0,0,,,,0.0,0.0
