UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
17PR00001,H7947,2,30,,13,4.0,0.0,0.0,,,TerminalOnly,,,,,
17PR00002,H7973,2,30,,13,4.0,2.8,7.2,,,2,27.8,4.6,16.4,75.5,
17PR00003,H7986,2,30,,13,4.0,2.3,5.8,,,.,24.6,4.8,19.5,89.4,
17PR00004,H7990,2,30,,13,4.0,2.7,6.8,,,RTITHUGE,24.4,5.7,23.2,82.4,
17PR00005,H7991,2,30,,13,4.0,3.0,7.5,,,NOT.PUSHING,26.8,4.2,15.7,81.5,
17PR00006,H8005,2,30,,13,4.0,3.1,8.0,,,DRY,29.0,5.1,17.4,62.9,
17PR00007,H8036,2,30,,13,4.0,3.7,9.5,,,.,29.6,5.2,17.5,59.9,
17PR00008,H8054,2,30,,13,4.0,3.0,7.5,,,TurnedOutNice,23.3,4.2,17.9,95.7,
17PR00009,H8063,2,30,,13,4.0,3.3,8.5,,,TerminalOnly,28.9,5.2,17.9,62.4,
17PR00010,H8083,2,30,,13,4.0,2.8,7.0,,,WARTS,26.0,4.1,15.9,86.8,
17PR00011,H8092,2,30,,13,4.0,3.0,7.6,,,TurnedOutNice,28.9,4.8,16.5,65.1,
17PR00012,H8096,2,30,,13,4.0,3.1,8.0,,,TerminalOnly,22.5,4.3,19.1,95.2,
17PR00013,H8097,2,30,,13,4.0,3.9,10.0,,,FEVER.INC.RR,26.0,5.2,19.8,82.4,
17PR00014,H8120,2,30,,13,4.0,3.0,7.6,,,TerminalOnly,24.7,4.9,19.9,86.9,
17PR00015,H8135,2,30,,13,4.0,3.5,9.0,,,DRY,24.4,3.8,15.6,94.2,
17PR00016,H8146,2,30,,13,4.0,3.2,8.2,,,.,28.5,4.8,16.8,68.6,
17PR00017,H8154,2,30,,13,4.0,2.6,6.5,,,TerminalOnly,20.5,3.7,17.9,99.2,
17PR00018,H8155,2,30,,13,4.0,3.7,9.5,,,DRY,25.3,4.3,17.1,89.0,
17PR00019,H8209,2,30,,13,4.0,2.6,6.6,,,TerminalOnly,27.6,4.5,16.1,74.2,
17PR00020,H8210,1,30,,13,4.0,3.3,8.4,,,SCOURS,30.7,4.6,15.1,50.4,
17PR00021,H8248,2,30,,13,4.0,2.8,7.0,,,LSDBLOODY,28.0,5.2,18.7,68.5,
17PR00022,H8256,2,30,,13,4.0,3.3,8.5,,,RR LAME,28.4,5.9,20.8,63.7,
17PR00023,H8262,2,30,,13,4.0,3.0,7.6,,,TerminalOnly,27.6,4.4,15.8,76.4,
17PR00024,H8293,2,30,,13,4.0,3.1,8.0,,,TerminalOnly,26.7,3.7,13.9,85.1,
17PR00025,H8300,2,30,,13,4.0,2.9,7.3,,,LAMBS.IN.A.BA,24.5,4.7,19.4,89.9,
17PR00026,H8302,2,30,,13,4.0,3.5,9.0,,,TerminalOnly,24.9,5.0,19.9,87.8,
17PR00027,H8307,2,30,,13,4.0,3.0,7.5,,,TerminalOnly,27.5,5.4,19.7,69.6,
17PR00028,H8328,2,30,,13,4.0,3.1,8.0,,,RSD.SL.BLOODY,25.2,5.6,22.2,82.9,
17PR00029,H8410,2,30,,13,4.0,3.9,9.8,,,@MUDLAKE,26.8,5.5,20.6,76.2,
17PR00030,H8450,2,30,,13,4.0,2.7,6.8,,,SM.UDDER,26.2,5.9,22.7,77.5,
17PR00031,H8452,2,30,,13,4.0,3.1,8.0,,,PoorBCS,24.4,4.0,16.5,93.6,
17PR00032,H8837,1,30,,15,2.0,3.6,9.2,,,Small scurs,26.7,4.3,16.2,82.5,
17PR00033,H8838,2,30,,15,2.0,3.1,7.9,,,.,29.2,5.7,19.7,60.4,
17PR00034,H8840,1,30,,15,2.0,3.3,8.5,,,SoreHeadFight,23.5,4.1,17.4,94.0,
17PR00035,H8850,2,30,,15,2.0,3.1,8.0,,,2ND,25.7,4.1,16.1,87.9,
17PR00036,H8858,2,30,,15,2.0,3.1,8.0,,,.,24.4,3.8,15.7,93.6,
17PR00037,H8860,2,30,,15,2.0,2.9,7.4,,,NICE LAMB,27.8,4.4,16.0,74.8,
17PR00038,H8862,1,30,,15,2.0,3.9,10.0,,,.,26.0,5.2,20.1,81.4,
17PR00039,H8863,2,30,,15,2.0,3.6,9.2,,,NICE LAMB,26.0,4.4,16.8,85.7,
17PR00040,H8866,2,30,,15,2.0,2.8,7.0,,,TerminalOnly,23.4,3.6,15.4,96.9,
17PR00041,H8872,2,30,,15,2.0,3.0,7.5,,,.,25.0,4.2,16.7,90.6,
17PR00042,H8874,2,30,,15,2.0,3.1,7.9,,,SM.UDDER,25.9,4.6,17.8,85.0,
17PR00043,H8876,2,30,,15,2.0,3.2,8.2,,,NICE LAMB,24.2,5.1,21.0,88.5,
17PR00044,H8882,2,30,,15,2.0,3.7,9.5,,,NOEXTRAMILK,24.0,5.1,21.5,89.0,
17PR00045,H8889,2,30,,15,2.0,2.6,6.7,,,.,25.4,4.3,16.8,88.6,
17PR00046,H8892,2,30,,15,2.0,3.1,8.0,,,.,28.4,4.7,16.7,71.3,
17PR00047,H8894,1,30,,15,2.0,3.2,8.2,,,.,28.2,4.7,16.7,71.7,
17PR00048,H8897,1,30,,15,2.0,3.3,8.5,,,.,25.0,5.1,20.3,85.5,
17PR00049,H8903,2,30,,15,2.0,3.9,10.0,,,.,29.0,5.2,18.0,62.9,
17PR00050,H8908,2,30,,15,2.0,3.9,10.0,,,.,25.5,5.1,20.2,84.5,
17PR00051,H8909,2,30,,15,2.0,3.7,9.4,,,TerminalOnly,26.7,4.8,17.9,80.5,
17PR00052,H8914,2,30,,15,2.0,3.4,8.7,,,.,24.5,4.8,19.5,89.8,
17PR00053,H8925,2,30,,15,2.0,2.7,6.9,,,HAIRY,23.9,3.5,14.8,96.3,
17PR00054,H8927,2,30,,15,2.0,3.5,8.8,,,.,28.0,5.1,18.4,71.4,
17PR00055,H8931,2,30,,15,2.0,3.7,9.5,,,P H,28.0,5.4,19.3,69.1,
17PR00056,H8933,2,30,,15,2.0,3.0,7.5,,,P H,24.0,3.9,16.2,94.3,
17PR00057,H8935,2,30,,15,2.0,3.7,9.5,,,.,26.5,4.0,15.1,86.4,
17PR00058,H8939,2,30,,15,2.0,3.0,7.7,,,1ST H,24.5,4.8,19.5,89.4,
17PR00059,H8946,2,30,,15,2.0,2.8,7.2,,,TerminalOnly,24.6,4.5,18.3,91.1,
