UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,YIELD,MICRON
94PR00045,K6130,1,06,68,92,1,2.0,0,C,CTL,1,3+,7.1,2.8,4TEATS,55.7,27.0
94PR00046,K6136,1,06,68,92,1,2.0,0,W,LBW,2,2+,7.5,3.0,AB DEW.STUDLY,56.6,26.4
94PR00047,K6144,1,06,68,92,1,2.0,0,W,LBW,1,2-,8.0,3.1,4TEATS,49.5,26.9
94PR00048,K6158,1,06,68,92,1,2.0,0,G,ADG,1,3+,8.6,3.4,COARSE,59.6,24.4
94PR00049,K6168,1,06,68,92,1,2.0,0,G,ADG,2,2,8.1,3.2,,55.5,28.9
94PR00050,K6169,1,06,68,92,1,2.0,0,C,CTL,1,3+,7.0,2.8,,53.0,28.0
94PR00051,K6181,1,06,68,92,1,2.0,0,C,CTL,2,2,6.0,2.4,BLK.EARS,56.9,29.4
94PR00052,K6197,1,06,68,92,1,2.0,0,C,CTL,2,3+,7.9,3.1,,59.7,25.6
94PR00053,K6218,1,06,68,92,1,2.0,0,C,CTL,2,2-,6.8,2.7,,58.4,26.0
94PR00054,K6224,1,06,68,92,1,2.0,0,C,CTL,3,3+,9.0,3.5,,64.7,29.2
94PR00055,K6241,1,06,68,92,1,2.0,0,W,LBW,2,2,7.8,3.1,,58.4,30.9
94PR00056,K6255,1,06,68,92,1,2.0,0,C,CTL,1,2,7.2,2.8,4TEATS,51.1,24.2
94PR00057,K6261,1,06,68,92,1,2.0,0,C,CTL,2,2,7.9,3.1,,54.4,27.5
94PR00058,K6298,1,06,68,92,1,2.0,0,W,LBW,1,3+,8.2,3.2,,58.6,27.9
94PR00059,K6304,1,06,68,92,1,2.0,0,W,LBW,1,2-,7.5,3.0,,53.0,28.2
94PR00060,K6338,1,06,68,92,1,2.0,0,G,ADG,1,2-,6.2,2.4,,46.2,24.2
94PR00061,K6344,1,06,68,92,1,2.0,0,C,CTL,1,2,7.2,2.8,4TEATS,60.4,23.9
94PR00062,K6347,1,06,68,92,1,2.0,0,G,ADG,2,3+,7.3,2.9,,51.5,32.6
94PR00063,K6411,1,06,68,92,1,2.0,0,C,CTL,1,2-,8.0,3.1,,57.4,25.7
94PR00064,K6414,1,06,68,92,1,2.0,0,C,CTL,2,2,6.8,2.7,,54.4,26.2
94PR00065,K6444,1,06,68,92,1,2.0,0,C,CTL,2,3+,6.8,2.7,,52.3,24.6
94PR00066,K6456,1,06,68,92,1,2.0,0,C,CTL,1,2-,6.6,2.6,,60.3,26.3
94PR00067,K6472,1,06,68,92,1,2.0,0,C,CTL,2,3+,7.0,2.8,,51.9,27.9
94PR00068,K6536,1,06,68,92,1,2.0,0,C,CTL,1,2,6.8,2.7,,50.0,23.9
94PR00069,K6553,1,06,68,92,1,2.0,0,C,CTL,1,2-,8.2,3.2,4TEATS,61.5,24.3
94PR00070,K6573,1,06,68,92,1,2.0,0,G,ADG,1,2,7.0,2.8,,45.4,28.4
94PR00071,K6662,1,06,62,93,1,1.0,0,C,,1,2-,6.8,2.7,,49.2,23.5
94PR00072,K6663,1,06,62,93,1,1.0,0,C,,3,2-,7.2,2.8,,51.9,26.9
94PR00073,K6664,1,06,62,93,1,1.0,0,C,,1,3,6.4,2.5,,47.4,22.1
94PR00074,K6665,1,06,62,93,1,1.0,0,C,,2,2,7.2,2.8,,59.1,24.9
94PR00075,K6671,1,06,62,93,1,1.0,0,C,,1,3,6.9,2.7,,56.5,22.0
94PR00076,K6673,1,06,60,93,1,1.0,0,M,,1,2,7.2,2.8,,54.7,21.9
94PR00077,K6685,1,06,62,93,1,1.0,0,C,,2,3,7.2,2.8,,50.9,24.6
94PR00078,K6697,1,06,60,93,1,1.0,0,M,,1,3-,7.1,2.8,,56.5,23.6
94PR00079,K6700,1,06,62,93,1,1.0,0,C,,2,3,7.0,2.8,4TEATS,46.5,25.0
94PR00080,K6701,1,06,62,93,1,1.0,0,C,,2,2,6.8,2.7,,47.4,22.9
94PR00081,K6707,1,06,60,93,1,1.0,0,M,,2,3,7.2,2.8,,49.3,23.6
94PR00082,K6708,1,06,62,93,1,1.0,0,C,,1,3-,6.1,2.4,,53.8,23.5
94PR00083,K6709,1,06,60,93,1,1.0,0,M,,1,2,6.4,2.5,,53.7,22.7
94PR00084,K6720,1,06,60,93,1,1.0,0,M,,1,2,8.4,3.3,,53.1,24.3
94PR00085,K6735,1,06,62,93,1,1.0,0,C,,1,2,9.8,3.9,,59.0,22.3
94PR00086,K6736,1,06,62,93,1,1.0,0,C,,1,2,8.1,3.2,,60.3,22.7
94PR00087,K6741,1,06,60,93,1,1.0,0,M,,2,3,8.1,3.2,,65.9,25.0
94PR00088,K6742,1,06,60,93,1,1.0,0,M,,2,2,7.2,2.8,,54.1,25.9
94PR00089,K6748,1,06,62,93,1,1.0,0,C,,1,2,8.0,3.1,,53.4,22.4
94PR00090,K6766,1,06,62,93,1,1.0,0,C,,1,2,6.8,2.7,,51.8,26.7
94PR00091,K6770,1,05,00,93,1,1.0,0,H,,2,2+,7.8,3.1,,56.4,22.9
94PR00092,K6782,1,06,62,93,1,1.0,0,C,,1,2,8.5,3.3,PINK,64.3,26.2
94PR00093,K6783,1,06,62,93,1,1.0,0,C,,1,2-,7.0,2.8,4TEATS,54.9,26.2
94PR00094,K6796,1,05,00,93,1,1.0,0,H,,2,3+,6.9,2.7,4TEATS,59.0,26.5
94PR00095,K6799,1,06,62,93,1,1.0,0,C,,2,2-,6.2,2.4,4TEATS,56.9,23.8
94PR00096,K6800,1,06,60,93,1,1.0,0,M,,1,2,6.7,2.6,,53.8,22.8
94PR00097,K6801,1,06,60,93,1,1.0,0,M,,1,2,6.6,2.6,STUD,52.8,22.0
94PR00098,K6810,1,06,60,93,1,1.0,0,M,,1,3+,7.9,3.1,,55.8,28.0
94PR00099,K6811,1,06,62,93,1,1.0,0,C,,1,2-,6.2,2.4,,49.2,22.9
94PR00100,K6812,1,06,62,93,1,1.0,0,C,,2,2-,6.8,2.7,X R.EPI.,50.4,23.5
94PR00101,K6832,1,06,60,93,1,1.0,0,M,,2,2-,7.7,3.0,,55.4,25.4
94PR00102,K6851,1,06,62,93,1,1.0,0,C,,2,2-,8.2,3.2,4TEATS,61.0,23.8
94PR00103,K6857,1,06,62,93,1,1.0,0,C,,1,3,7.8,3.1,,61.3,27.0
94PR00104,K6863,1,06,60,93,1,1.0,0,M,,2,3-,6.8,2.7,ENTR,49.8,23.1
94PR00105,K6864,1,06,60,93,1,1.0,0,M,,2,3,7.0,2.8,BLK.NOSE+EYES,55.5,22.9
94PR00106,K6866,1,06,60,93,1,1.0,0,M,,2,2-,8.2,3.2,,61.7,22.8
94PR00107,K6868,1,05,00,93,1,1.0,0,H,,2,2-,6.2,2.4,,56.3,24.6
94PR00108,K6876,1,06,62,93,1,1.0,0,C,,2,2,7.8,3.1,X L.EPI.,52.4,27.0
94PR00109,K6883,1,06,60,93,1,1.0,0,M,,1,3,7.5,3.0,,48.2,24.3
94PR00110,K6884,1,06,60,93,1,1.0,0,M,,1,3,7.4,2.9,,55.7,23.5
94PR00111,K6885,1,06,60,93,1,1.0,0,M,,1,3,6.9,2.7,,50.4,23.5
94PR00112,K6887,1,06,60,93,1,1.0,0,M,,2,2,7.2,2.8,,52.9,26.3
94PR00113,K6889,1,06,62,93,1,1.0,0,C,,1,2,7.2,2.8,,57.3,24.6
94PR00114,K6899,1,06,60,93,1,1.0,0,M,,1,4+,6.5,2.6,,50.1,25.6
94PR00115,K6916,1,06,62,93,1,1.0,0,C,,2,2,8.3,3.3,,63.9,25.1
94PR00116,K6918,1,06,62,93,1,1.0,0,C,,2,2,7.1,2.8,MSG 051794,57.1,23.2
94PR00117,K6920,1,06,60,93,1,1.0,0,M,,2,3,7.0,2.8,4TEATS,64.6,21.9
94PR00118,K6927,1,06,60,93,1,1.0,0,M,,1,2,6.1,2.4,,58.0,24.2
94PR00119,K6935,1,06,62,93,1,1.0,0,C,,1,2-,7.1,2.8,BROWN NOSE,59.9,23.0
94PR00120,K6940,1,06,62,93,1,1.0,0,C,,2,3+,7.2,2.8,,55.9,25.7
94PR00121,K6943,1,06,60,93,1,1.0,0,M,,1,2-,6.3,2.5,,55.6,24.2
94PR00122,K6945,1,06,60,93,1,1.0,0,M,,1,2-,7.7,3.0,,57.8,26.1
94PR00123,K6946,1,06,60,93,1,1.0,0,M,,2,3-,6.7,2.6,4TEATS,64.3,19.6
94PR00124,K6947,1,06,62,93,1,1.0,0,C,,1,2,7.5,3.0,,54.8,23.5
94PR00125,K6951,1,06,62,93,1,1.0,0,C,,3,3+,7.5,3.0,HAIRY,53.6,24.7
94PR00126,K6961,1,06,62,93,1,1.0,0,C,,1,2-,6.8,2.7,,59.5,21.4
94PR00127,K6971,1,06,62,93,1,1.0,0,C,,1,2-,8.7,3.4,4TEATS,59.6,22.7
94PR00128,K6972,1,05,00,93,1,1.0,0,H,,2,2-,6.3,2.5,,60.9,24.6
94PR00129,K6975,1,06,62,93,1,1.0,0,C,,2,2-,6.0,2.4,,50.6,22.9
94PR00130,K6983,1,06,60,93,1,1.0,0,M,,1,2-,6.5,2.6,,55.1,22.0
94PR00131,K6989,1,05,00,93,1,1.0,0,H,,2,2,6.2,2.4,,52.7,29.2
94PR00132,L8500,1,30,82,92,1,2.0,0,C,CTL,2,3+,5.8,2.3,,65.8,26.8
94PR00133,L8551,1,30,81,92,1,2.0,0,C,CTL,3,2+,8.6,3.4,,75.7,30.1
94PR00134,L8585,1,30,80,92,1,2.0,0,J,JIM,2,2+,6.5,2.6,,71.1,25.8
94PR00135,L8595,1,30,81,92,1,2.0,0,C,CTL,2,2-,6.0,2.4,,74.1,26.6
94PR00136,L8624,1,30,82,92,1,2.0,0,J,JIM,2,2+,7.2,2.8,ABS JAW 94,76.3,26.1
94PR00137,L8625,1,30,82,92,1,2.0,0,C,CTL,2,2+,6.3,2.5,,80.0,25.6
94PR00138,L8638,1,30,80,92,1,2.0,0,C,CTL,1,2+,7.4,2.9,4TEATS,55.6,27.1
94PR00139,L8662,1,30,82,92,1,2.0,0,J,JIM,1,2,6.8,2.7,,73.1,25.6
94PR00140,L8711,1,30,82,92,1,2.0,0,M,M,1,2,7.5,3.0,,62.3,24.7
94PR00141,L8712,1,30,82,92,1,2.0,0,J,JIM,2,2+,7.0,2.8,,64.1,25.1
94PR00142,L8722,1,30,80,92,1,2.0,0,M,M,2,2,7.1,2.8,"PINKEYE,TRT'D",74.3,29.6
94PR00143,L8765,1,30,82,92,1,2.0,0,C,CTL,1,2,7.1,2.8,,71.1,28.8
94PR00144,L8773,1,30,80,92,1,2.0,0,M,M,1,2+,8.2,3.2,,69.9,25.5
94PR00145,L8774,1,30,80,92,1,2.0,0,M,M,2,2+,9.0,3.5,,67.8,25.0
94PR00146,L8788,1,30,80,92,1,2.0,0,C,CTL,1,2,7.5,3.0,,56.7,25.5
94PR00147,L8881,1,30,81,92,1,2.0,0,C,CTL,2,2,5.6,2.2,,72.9,25.9
94PR00148,L8903,1,30,82,92,1,2.0,0,C,CTL,2,2+,5.6,2.2,,48.4,24.2
94PR00149,L8959,1,30,80,92,1,2.0,0,J,JIM,1,2+,5.3,2.1,,61.8,20.7
94PR00150,L8995,1,30,80,92,1,2.0,0,C,CTL,2,2,6.3,2.5,,59.1,23.8
94PR00151,L9026,1,30,81,92,1,2.0,0,J,JIM,2,2+,6.8,2.7,,62.7,27.2
94PR00152,L9096,1,30,80,92,1,2.0,0,C,CTL,2,2+,7.0,2.8,,72.9,25.6
94PR00153,L9097,1,30,80,92,1,2.0,0,C,CTL,1,2+,6.8,2.7,,65.5,24.7
94PR00154,L9168,1,30,81,92,1,2.0,0,C,CTL,1,2+,5.8,2.3,,58.3,24.0
94PR00155,L9230,1,30,82,92,1,2.0,0,M,M,1,2,6.5,2.6,,77.0,29.3
94PR00156,L9273,1,30,82,92,1,2.0,0,M,M,2,1-,7.0,2.8,,72.5,29.4
94PR00157,L9289,1,30,81,92,1,2.0,0,M,M,2,2+,7.4,2.9,,78.3,28.1
94PR00158,L9337,1,30,81,92,1,2.0,0,M,M,2,2,7.9,3.1,,80.7,27.1
94PR00159,L9343,1,30,81,92,1,2.0,0,J,JIM,3,2,8.4,3.3,,63.1,27.0
94PR00160,L9680,1,30,82,93,1,1.0,0,C,,2,3+,4.8,1.9,,60.6,20.9
94PR00161,L9693,1,30,82,93,1,1.0,0,C,,2,3+,5.8,2.3,,61.1,20.4
94PR00162,L9700,1,30,82,93,1,1.0,0,C,,2,2,6.8,2.7,,61.6,24.3
94PR00163,L9716,1,30,80,93,1,1.0,0,M,,1,2,5.9,2.3,,67.0,23.7
94PR00164,L9717,1,30,82,93,1,1.0,0,C,,2,2+,6.0,2.4,,54.8,21.7
94PR00165,L9720,1,30,82,93,1,1.0,0,C,,2,2-,4.6,1.8,,53.4,19.3
94PR00166,L9725,1,30,82,93,1,1.0,0,C,,3,2,5.4,2.1,,64.6,22.7
94PR00167,L9734,1,30,82,93,1,1.0,0,C,,2,3+,6.8,2.7,,63.6,24.3
94PR00168,L9745,1,30,82,93,1,1.0,0,C,,2,2,6.3,2.5,,59.4,23.0
94PR00169,L9750,1,30,82,93,1,1.0,0,C,,2,3+,6.8,2.7,,63.3,23.6
94PR00170,L9762,1,30,82,93,1,1.0,0,C,,2,2+,7.3,2.9,,62.6,22.3
94PR00171,L9769,1,30,82,93,1,1.0,0,C,,2,2+,7.2,2.8,,67.7,25.2
94PR00172,L9786,1,30,82,93,1,1.0,0,C,,2,2+,6.5,2.6,,63.2,21.8
94PR00173,L9815,1,30,80,93,1,1.0,0,M,,1,2,6.1,2.4,,59.5,21.9
94PR00174,L9819,1,30,82,93,1,1.0,0,C,,2,2,7.5,3.0,,60.9,21.9
94PR00175,L9832,1,30,80,93,1,1.0,0,M,,2,2,6.8,2.7,,56.7,23.0
94PR00176,L9833,1,30,80,93,1,1.0,0,M,,1,2+,5.9,2.3,,61.6,22.4
94PR00177,L9852,1,30,80,93,1,1.0,0,M,,2,2,7.1,2.8,,61.5,22.3
94PR00178,L9855,1,30,80,93,1,1.0,0,M,,2,2,6.4,2.5,SCURS,63.6,23.8
94PR00179,L9859,1,30,82,93,1,1.0,0,C,,2,2,6.7,2.6,,66.2,21.4
94PR00180,L9883,1,30,82,93,1,1.0,0,C,,2,2+,4.9,1.9,,48.0,21.7
94PR00181,L9892,1,30,80,93,1,1.0,0,M,,2,2,5.9,2.3,,53.5,21.2
94PR00182,L9898,1,30,80,93,1,1.0,0,M,,2,2,6.8,2.7,GAUNT/BIRTH,66.8,25.5
94PR00183,L9899,1,30,80,93,1,1.0,0,M,,2,2-,7.6,3.0,,56.8,25.5
94PR00184,L9901,1,30,80,93,1,1.0,0,M,,1,2,6.2,2.4,,68.8,21.5
94PR00185,L9907,1,30,80,93,1,1.0,0,M,,1,2+,5.5,2.2,,52.8,24.0
94PR00186,L9908,1,30,80,93,1,1.0,0,M,,1,2,6.1,2.4,,61.5,22.1
94PR00187,L9911,1,30,82,93,1,1.0,0,C,,2,2,5.2,2.0,,62.9,20.3
94PR00188,L9967,1,30,80,93,1,1.0,0,M,,2,2+,6.2,2.4,,55.0,21.7
94PR00189,L9973,1,30,80,93,1,1.0,0,M,,2,2-,7.6,3.0,,63.6,22.1
94PR00190,L9975,1,30,80,93,1,1.0,0,M,,1,2,5.6,2.2,,59.2,21.2
94PR00191,L9976,1,30,80,93,1,1.0,0,M,,2,2+,7.1,2.8,,65.4,22.9
94PR00192,L9998,1,30,82,93,1,1.0,0,C,,3,3-,7.1,2.8,5SCURS,61.2,23.9
94PR00193,S2315,1,07,18,92,1,2.0,0,W,LBW,6,2,6.0,2.4,,49.1,21.8
94PR00194,S2349,1,07,18,92,1,2.0,0,C,CTL,2,3+,5.9,2.3,,53.6,21.7
94PR00195,S2352,1,42,18,92,1,2.0,0,C,CTL,2,3-,7.4,2.9,,59.1,28.5
94PR00196,S2358,1,07,18,92,1,2.0,0,W,LBW,3,2+,5.8,2.3,,46.1,24.7
94PR00197,S2359,1,07,18,92,1,2.0,0,W,LBW,1,2-,6.0,2.4,,69.1,21.9
94PR00198,S2408,1,07,18,92,1,2.0,0,M,M,2,3+,7.6,3.0,,57.7,22.7
94PR00199,S2500,1,07,18,92,1,2.0,0,F,FW,3,3+,7.5,3.0,,55.6,22.2
94PR00200,S2505,1,07,18,92,1,2.0,0,W,LBW,3,3,6.7,2.6,,52.3,24.3
94PR00201,S2522,1,07,18,92,1,2.0,0,M,M,3,3,6.4,2.5,,45.4,22.1
94PR00202,S2545,1,41,FW,92,1,2.0,0,C,CTL,2,2-,8.1,3.2,ENTR,57.1,22.4
94PR00203,S2552,1,07,18,92,1,2.0,0,C,CTL,3,3,7.1,2.8,,59.0,24.3
94PR00204,S2567,1,07,18,92,1,2.0,0,W,LBW,1,2,5.2,2.0,4TEATS,41.3,25.9
94PR00205,S2575,1,07,18,92,1,2.0,0,W,LBW,2,2-,7.0,2.8,,53.1,23.5
94PR00206,S2576,1,07,18,92,1,2.0,0,M,M,2,2,7.8,3.1,,61.2,22.4
94PR00207,S2585,1,07,18,92,1,2.0,0,M,M,2,3,5.6,2.2,,51.1,22.3
94PR00208,S2630,1,41,FW,92,1,2.0,0,F,FW,3,4-,7.9,3.1,CHK.FACE,69.0,21.4
94PR00209,S2643,1,41,FW,92,1,2.0,0,F,FW,3,2,6.9,2.7,,64.7,22.8
94PR00210,S2646,1,41,SW,92,1,2.0,0,F,FW,7,3-,7.2,2.8,,65.9,19.8
94PR00211,S2677,1,07,18,92,1,2.0,0,C,CTL,2,3+,6.0,2.4,,50.5,25.6
94PR00212,S2721,1,41,FW,92,1,2.0,0,F,FW,6,3,7.8,3.1,,71.0,18.2
94PR00213,S2747,1,41,FW,92,1,2.0,0,C,CTL,7,3+,6.9,2.7,,71.3,20.3
94PR00214,S2749,1,07,18,92,1,2.0,0,W,LBW,2,2+,6.9,2.7,,54.1,20.9
94PR00215,S2750,1,07,18,92,1,2.0,0,W,LBW,1,2,6.0,2.4,,48.2,20.8
94PR00216,S2753,1,41,FW,92,1,2.0,0,C,CTL,7,3+,7.2,2.8,,64.6,20.4
94PR00217,S2793,1,07,18,92,1,2.0,0,C,CTL,2,3+,6.9,2.7,,53.2,25.9
94PR00218,S2848,1,07,18,92,1,2.0,0,C,CTL,1,3-,6.8,2.7,NICE,55.4,24.0
94PR00219,S2947,1,42,18,92,1,2.0,0,F,FW,2,3+,6.8,2.7,4TEATS,62.9,22.2
94PR00220,S2949,1,07,18,92,1,2.0,0,M,M,3,3-,7.2,2.8,CHK.FACE,56.6,24.9
94PR00221,S2964,1,07,18,92,1,2.0,0,C,CTL,1,3+,6.8,2.7,,66.6,23.0
94PR00222,S3048,1,07,18,92,1,2.0,0,F,FW,1,3+,7.2,2.8,DAM'S RECORD,54.4,23.5
94PR00223,S3102,1,07,18,92,1,2.0,0,W,LBW,2,3,8.1,3.2,,59.2,28.5
94PR00224,S3142,1,07,18,92,1,2.0,0,C,CTL,1,2-,7.4,2.9,,58.4,25.2
94PR00225,S3150,1,07,18,92,1,2.0,0,C,CTL,1,3,5.5,2.2,DUD'93 NOT!,50.1,20.4
94PR00226,S3204,1,07,18,92,1,2.0,0,C,CTL,2,3+,6.5,2.6,,51.4,23.1
94PR00227,S3240,1,07,18,92,1,2.0,0,M,M,2,2-,7.0,2.8,,55.5,22.2
94PR00228,S3244,1,07,18,92,1,2.0,0,C,CTL,3,2,6.7,2.6,,44.5,23.7
94PR00229,S3273,1,07,18,92,1,2.0,0,C,CTL,3,2-,6.2,2.4,,52.9,22.4
94PR00230,S3286,1,42,SW,92,1,2.0,0,C,CTL,3,2,6.5,2.6,,53.8,24.5
94PR00231,S3440,1,08,00,93,1,1.0,0,H,,6,2,6.2,2.4,,59.0,25.1
94PR00232,S3446,1,08,00,93,1,1.0,0,H,,3,3+,7.5,3.0,HAIRY,58.1,23.8
94PR00233,S3458,1,08,00,93,1,1.0,0,H,,2,3-,7.5,3.0,,58.7,23.8
94PR00234,S3460,1,07,18,93,1,1.0,0,R,,2,3-,6.4,2.5,,57.1,20.8
94PR00235,S3497,1,08,00,93,1,1.0,0,H,,1,3+,6.2,2.4,,57.1,25.3
94PR00236,S3521,1,43,18,93,1,1.0,0,R,,7,2,5.3,2.1,7HORN,58.1,18.7
94PR00237,S3530,1,07,18,93,1,1.0,0,R,,1,3+,6.0,2.4,,54.8,20.9
94PR00238,S3547,1,43,18,93,1,1.0,0,R,,6,3+,7.6,3.0,7HORN,64.0,20.0
94PR00239,S3554,1,08,00,93,1,1.0,0,H,,3,3,8.1,3.2,,60.5,22.8
94PR00240,S3566,1,43,18,93,1,1.0,0,R,,2,3-,6.7,2.6,,52.1,20.3
94PR00241,S3569,1,08,00,93,1,1.0,0,H,,3,3,6.1,2.4,,50.4,23.0
94PR00242,S3626,1,07,18,93,1,1.0,0,R,,5,3,5.7,2.2,,57.6,18.9
94PR00243,S3633,1,08,00,93,1,1.0,0,H,,2,3-,5.1,2.0,,53.7,23.1
94PR00244,S3645,1,43,18,93,1,1.0,0,R,,6,2,7.0,2.8,,59.1,19.2
94PR00245,S3705,1,08,00,93,1,1.0,0,H,,3,3-,6.8,2.7,,58.5,24.9
94PR00246,S3726,1,43,18,93,1,1.0,0,R,,7,2-,6.2,2.4,7HORN,56.8,19.3
94PR00247,S3728,1,43,18,93,1,1.0,0,R,,6,3-,7.5,3.0,,61.0,19.6
94PR00248,S3791,1,43,18,93,1,1.0,0,R,,6,3,5.3,2.1,TRY,67.6,18.5
94PR00249,S3855,1,43,18,93,1,1.0,0,R,,6,2,7.1,2.8,,60.4,18.2
94PR00250,S3892,1,42,18,93,1,1.0,0,R,,4,3,5.9,2.3,,67.5,18.3
94PR00251,S3898,1,43,18,93,1,1.0,0,R,,5,2-,6.2,2.4,,59.4,18.6
94PR00252,S3969,1,43,18,93,1,1.0,0,R,,6,3,5.9,2.3,6HORN,63.8,17.2
94PR00253,S4057,1,07,18,93,1,1.0,7,R,,2,3,4.9,1.9,,51.2,19.6
94PR00254,S4069,1,42,18,93,1,1.0,0,R,,2,2-,4.8,1.9,,53.8,17.4
94PR00255,S4091,1,08,00,93,1,1.0,0,H,,1,3+,5.8,2.3,,49.7,22.2
94PR00256,S4101,1,07,18,93,1,1.0,0,R,,1,3,4.9,1.9,,51.9,17.1
94PR00257,S4159,1,07,18,93,1,1.0,0,R,,2,3,5.9,2.3,,54.6,18.5
94PR00258,S4160,1,07,18,93,1,1.0,0,R,,1,3,5.2,2.0,,59.3,18.8
94PR00259,S4162,1,42,18,93,1,1.0,0,R,,1,3,6.1,2.4,,64.5,17.7
94PR00260,S4168,1,07,18,93,1,1.0,7,R,,3,3-,5.9,2.3,,57.6,22.0
94PR00261,S4179,1,42,18,93,1,1.0,0,R,,2,4+,5.2,2.0,,62.7,16.8
