UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
99PR00462,S7947,2,43,12,97,1,2.0,0,C, .,., .,9.1,3.6,,Y,22.54,3.96,17.6,62
99PR00463,S7948,2,43,13,97,1,2.0,0,F, .,., .,8.9,3.5,,Y,25.14,4.3,17.1,58
99PR00464,S7950,2,07,12,97,1,2.0,0,C, .,., .,8.5,3.3,,Y,20.52,3.59,17.5,70
99PR00465,S7951,2,07,12,97,1,2.0,0,C, .,., .,8.2,3.2,,Y,23.38,4.11,17.6,62
99PR00466,S7955,2,07,ID,97,1,2.0,7,I,LIM,., .,7.2,2.8,,Y,20.3,4.19,20.6,70
99PR00467,S7956,2,07,11,97,1,2.0,0,R, .,., .,7.1,2.8,4TEATS,Y,23.1,4.51,19.5,62
99PR00468,S7958,2,42,12,97,1,2.0,0,C, .,., .,9.0,3.5,,Y,23.49,3.68,15.7,62
99PR00469,S7975,2,07,10,97,1,2.0,0,M, .,., .,9.2,3.6,,Y,22.87,4.23,18.5,62
99PR00470,S7984,2,43,13,97,1,2.0,0,F, .,., .,7.4,2.9,ENTR,Y,22.95,4.77,20.8,62
99PR00471,S7985,2,43,13,97,1,2.0,0,F, .,., .,7.9,3.1,,Y,24.74,5.38,21.7,60
99PR00472,S7986,2,07,11,97,1,2.0,0,R, .,., .,7.3,2.9,,Y,22.59,4.35,19.2,62
99PR00473,S7987,2,07,11,97,1,2.0,0,R, .,., .,8.3,3.3,,Y,24.82,4.51,18.2,60
99PR00474,S7990,1,07,10,97,1,2.0,0,M, .,7,3+,8.2,3.2,LOW FERT 64,Y,25.93,5.19,20.0,58
99PR00475,S7996,2,07,10,97,1,2.0,0,M, .,., .,8.9,3.5,,Y,22.45,4.24,18.9,62
99PR00476,S8008,1,43,13,97,1,2.0,0,F, .,1,3-,10.1,4.0,,Y,22.32,3.96,17.8,62
99PR00477,S8012,2,07,12,97,1,2.0,0,C, .,., .,7.8,3.1,,Y,21.33,3.77,17.7,64
99PR00478,S8017,2,07,11,97,1,2.0,0,R, .,., .,7.9,3.1,4TEATS,Y,20.19,3.95,19.5,70
99PR00479,S8019,2,07,10,97,1,2.0,0,M, .,., .,8.1,3.2,,Y,23.08,3.89,16.9,62
99PR00480,S8020,2,07,10,97,1,2.0,0,M, .,., .,7.8,3.1,,Y,25.9,4.19,16.2,58
99PR00481,S8029,2,43,10,97,1,2.0,0,M, .,., .,7.5,3.0,,Y,22.04,4.36,19.8,64
99PR00482,S8035,2,43,18,97,1,2.0,7,C,LIM,., .,7.4,2.9,,Y,24.95,4.64,18.6,58
99PR00483,S8039,2,07,10,97,1,2.0,0,M, .,., .,8.4,3.3,,Y,22.34,4.13,18.5,62
99PR00484,S8043,1,43,10,97,1,2.0,0,M, .,2,3+,8.9,3.5,,Y,23.99,5.31,22.1,60
99PR00485,S8046,1,43,12,97,1,2.0,0,C, .,2,3,7.8,3.1,,Y,22.28,3.98,17.9,62
99PR00486,S8050,1,43,10,97,1,2.0,0,M, .,2,3+,9.6,3.8,,Y,24.0,4.37,18.2,60
99PR00487,S8052,2,07,ID,97,1,2.0,7,I,LIM,., .,8.2,3.2,,Y,24.55,4.16,16.9,60
99PR00488,S8056,2,42,13,97,1,2.0,0,F, .,., .,7.9,3.1,HAIRY,Y,22.21,4.05,18.2,62
99PR00489,S8059,1,07,12,97,1,2.0,0,C, .,3,3,7.5,3.0,H4,Y,22.07,4.17,18.9,62
99PR00490,S8070,2,43,12,97,1,2.0,0,C, .,., .,8.0,3.1,,Y,21.97,4.29,19.5,64
99PR00491,S8086,2,07,10,97,1,2.0,0,M, .,., .,7.0,2.8,,Y,24.08,4.59,19.0,60
99PR00492,S8090,2,07,13,97,1,2.0,0,F, .,., .,8.1,3.2,4TEATS,Y,21.17,3.62,17.1,64
