UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
23PR00001,A1468,2,30,,22,1.0,3.9,10.0,,,.,26.8,4.6,17.0,82.8,56
23PR00002,A1471,2,30,,22,1.0,2.8,7.0,,,.,24.1,5.9,24.5,85.7,60
23PR00003,A1476,2,30,,22,1.0,3.0,7.5,,,.,27.3,4.7,17.3,79.0,56
23PR00004,A1479,1,30,,22,1.0,2.5,6.3,,,Loose,23.6,4.4,18.8,93.4,60
23PR00005,A1481,1,30,,22,1.0,2.5,6.3,,,.,24.9,4.4,17.7,90.1,60
23PR00006,A1482,2,30,,22,1.0,2.8,7.0,,,.,24.7,3.7,15.2,95.6,60
23PR00007,A1483,2,30,,22,1.0,2.8,7.0,,,1ST,25.7,5.0,19.5,85.4,58
23PR00008,A1493,2,30,,22,1.0,3.5,9.0,,,.,29.9,6.4,21.5,57.9,50
23PR00009,A1496,1,30,,22,1.0,2.7,6.8,,,.,26.5,4.1,15.6,84.5,56
23PR00010,A1502,2,30,,22,1.0,2.1,5.3,,,.,23.2,3.6,15.7,97.6,62
23PR00011,A1503,2,30,,22,1.0,2.2,5.5,,,.,23.9,4.6,19.3,91.4,60
23PR00012,A1506,2,30,,22,1.0,3.7,9.3,,,.,23.9,4.1,17.2,93.9,60
23PR00013,A1507,2,30,,22,1.0,2.9,7.3,,,2ND,24.2,3.4,14.1,96.2,60
23PR00014,A1508,2,30,,22,1.0,2.6,6.5,,,3RD,25.5,4.2,16.6,89.3,58
23PR00015,A1509,2,30,,22,1.0,2.7,6.8,,,.,26.6,5.7,21.6,75.1,56
23PR00016,A1511,2,30,,22,1.0,3.3,8.3,,,.,26.1,4.6,17.5,83.3,58
23PR00017,A1512,2,30,,22,1.0,2.8,7.0,,,.,26.6,5.2,19.5,78.7,56
23PR00018,A1514,2,30,,22,1.0,3.1,7.8,,,.,26.0,4.7,18.3,84.9,58
23PR00019,A1515,2,30,,22,1.0,3.9,10.0,,,.,27.0,4.5,16.8,79.0,56
23PR00020,A1516,2,30,,22,1.0,3.1,8.0,,,.,27.7,5.4,19.7,70.5,56
23PR00021,A1517,2,30,,22,1.0,2.8,7.0,,,BIGBLSPOT,31.4,6.5,20.7,47.9,48
23PR00022,A1518,2,30,,22,1.0,2.7,6.8,,,.,27.4,4.5,16.4,77.3,56
23PR00023,A1520,1,30,,22,1.0,3.0,7.5,,,.,25.9,5.3,20.5,81.2,58
23PR00024,A1522,2,30,,22,1.0,3.0,7.5,,,.,26.4,5.8,22.0,80.8,56
23PR00025,A1527,2,30,,22,1.0,2.8,7.0,,,.,22.1,3.9,17.6,98.7,62
23PR00026,A1530,2,30,,22,1.0,2.6,6.5,,,.,26.3,5.5,20.9,79.9,58
23PR00027,A1532,2,30,,22,1.0,3.5,9.0,,,.,25.5,4.0,15.5,92.4,58
23PR00028,A1533,1,30,,22,1.0,3.1,7.8,,,.,23.3,4.7,20.3,93.9,62
23PR00029,A1535,2,30,,22,1.0,3.9,9.8,,,.,25.1,5.0,19.9,87.7,58
