UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
25PR00112,A2314,2,30,,24,1.0,,10.0,,,.,,,,,
25PR00113,A2319,2,30,,24,1.0,,6.0,,,.,,,,,
25PR00114,A2322,1,30,,24,1.0,,10.0,,,Nice,,,,,
25PR00115,A2323,2,30,,24,1.0,,10.0,,,2@ONCE,,,,,
25PR00116,A2329,2,30,,24,1.0,,9.0,,,.,,,,,
25PR00117,A2333,2,30,,24,1.0,,8.0,,,.,,,,,
25PR00118,A2335,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00119,A2337,2,30,,24,1.0,,9.0,,,HAIRY,,,,,
25PR00120,A2338,2,30,,24,1.0,,9.0,,,.,,,,,
25PR00121,A2339,1,30,,24,1.0,,8.5,,,.,,,,,
25PR00122,A2344,2,30,,24,1.0,,7.0,,,.,,,,,
25PR00123,A2352,1,30,,24,1.0,,9.0,,,Scurs,,,,,
25PR00124,A2353,1,30,,24,1.0,,11.0,,,ScursBlSpots,,,,,
25PR00125,A2358,2,30,,24,1.0,,10.0,,,.,,,,,
25PR00126,K5569,1,06,,24,1.0,,10.0,,,Scurs,,,,,
25PR00127,K5570,1,06,,24,1.0,,8.0,,,Nice,,,,,
25PR00128,K5572,1,06,,24,1.0,,6.0,,,Scurs,,,,,
25PR00129,K5573,2,06,,24,1.0,,9.0,,,.,,,,,
25PR00130,K5575,2,06,,24,1.0,,9.0,,,NICE LAMB,,,,,
25PR00131,K5579,2,06,,24,1.0,,9.5,,,1ST,,,,,
25PR00132,K5580,2,06,,24,1.0,,9.0,,,2ND,,,,,
25PR00133,K5581,2,06,,24,1.0,,8.0,,,.,,,,,
25PR00134,K5582,1,06,,24,1.0,,8.0,,,.,,,,,
25PR00135,K5583,1,06,,24,1.0,,7.0,,,Nice,,,,,
25PR00136,K5587,2,06,,24,1.0,,8.0,,,LostK5586,,,,,
25PR00137,K5588,2,06,,24,1.0,,8.0,,,.,,,,,
25PR00138,K5589,2,06,,24,1.0,,8.0,,,.,,,,,
25PR00139,K5593,1,06,,24,1.0,,7.0,,,Scurs,,,,,
25PR00140,K5594,2,06,,24,1.0,,,,,.,,,,,
25PR00141,K5595,2,06,,24,1.0,,10.0,,,HAIRY,,,,,
25PR00142,K5601,2,06,,24,1.0,,7.5,,,.,,,,,
25PR00143,K5602,2,06,,24,1.0,,,,,.,,,,,
25PR00144,K5604,1,06,,24,1.0,,9.0,,,Nice,,,,,
25PR00145,K5606,2,06,,24,1.0,,8.0,,,2ND.NICE,,,,,
25PR00146,K5607,2,06,,24,1.0,,7.0,,,.,,,,,
25PR00147,K5614,2,06,,24,1.0,,9.0,,,1ST,,,,,
25PR00148,S5156,2,07,,24,1.0,,8.5,,,.,,,,,
25PR00149,S5160,2,07,,24,1.0,,8.5,,,.,,,,,
25PR00150,S5162,2,07,,24,1.0,,7.5,,,1ST,,,,,
25PR00151,S5163,1,07,,24,1.0,,10.0,,,Scurs,,,,,
25PR00152,S5164,2,07,,24,1.0,,9.0,,,1ST,,,,,
25PR00153,S5172,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00154,S5174,2,07,,24,1.0,,,,,.,,,,,
25PR00155,S5175,2,07,,24,1.0,,10.0,,,.,,,,,
25PR00156,S5184,2,07,,24,1.0,,8.0,,,1ST,,,,,
25PR00157,S5192,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00158,S5198,1,07,,24,1.0,,9.0,,,Heavy scurs,,,,,
25PR00159,S5202,1,07,,24,1.0,,9.0,,,Scurs,,,,,
25PR00160,S5205,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00161,S5208,2,07,,24,1.0,,10.0,,,.,,,,,
25PR00162,S5209,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00163,S5213,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00164,S5215,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00165,S5217,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00166,S5221,2,07,,24,1.0,,9.0,,,.,,,,,
25PR00167,S5226,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00168,S5227,2,07,,24,1.0,,6.5,,,.,,,,,
25PR00169,S5229,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00170,S5235,2,07,,24,1.0,,9.0,,,BR.BY.TAIL,,,,,
25PR00171,S5238,2,07,,24,1.0,,7.0,,,.,,,,,
