UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
22PR00001,A1054,2,30,,21,1.0,2.7,6.8,2,,.,,,,,
22PR00002,A1057,2,30,,21,1.0,3.0,7.5,2,,HAIRY,,,,,
22PR00003,A1064,2,30,,21,1.0,2.5,6.3,3+,,HAIRY,,,,,
22PR00004,A1067,2,30,,21,1.0,3.3,8.5,3,,.,,,,,
22PR00005,A1073,2,30,,21,1.0,2.7,6.8,2+,,.,,,,,
22PR00006,A1074,1,30,,21,1.0,3.0,7.5,2-,1,.,,,,,
22PR00007,A1077,1,30,,21,1.0,2.5,6.3,3-,4,SmScurs,,,,,
22PR00008,A1078,1,30,,21,1.0,3.1,8.0,3+,2,Scurs,,,,,
22PR00009,A1080,2,30,,21,1.0,2.4,6.0,3,,.,,,,,
22PR00010,A1091,1,30,,21,1.0,3.0,7.5,2,1,.,,,,,
22PR00011,A1093,1,30,,21,1.0,2.7,6.8,2-,1,2ND,,,,,
22PR00012,A1098,2,30,,21,1.0,3.0,7.5,3,,.,,,,,
22PR00013,A1100,1,30,,21,1.0,2.8,7.0,3+,2,1ST,,,,,
22PR00014,A1101,2,30,,21,1.0,2.8,7.0,3,,2ND,,,,,
22PR00015,A1102,2,30,,21,1.0,2.7,6.8,1-,,.,,,,,
22PR00016,A1107,1,30,,21,1.0,3.0,7.5,2-,2,.,,,,,
22PR00017,A1108,2,30,,21,1.0,3.0,7.5,2-,,.,,,,,
22PR00018,A1113,1,30,,21,1.0,3.1,8.0,3,1,.,,,,,
22PR00019,A1114,1,30,,21,1.0,3.5,9.0,3,2,Nice,,,,,
22PR00020,A1119,2,30,,21,1.0,2.1,5.3,2-,,.,,,,,
22PR00021,A1126,1,30,,21,1.0,2.2,5.5,3-,1,Nice,,,,,
22PR00022,A1127,2,30,,21,1.0,2.6,6.5,3+,,.,,,,,
22PR00023,A1130,2,30,,21,1.0,2.4,6.0,3,,.,,,,,
22PR00024,A1135,1,30,,21,1.0,2.8,7.0,2,2,Nice,,,,,
22PR00025,A1137,2,30,,21,1.0,3.3,8.5,3-,,PINK,,,,,
22PR00026,A1139,2,30,,21,1.0,2.0,5.0,2-,,.,,,,,
22PR00027,A1144,2,30,,21,1.0,2.4,6.0,3-,,2ND.HAIRY,,,,,
