UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
17EW00001,H9583,,Open?,3,95,e7,W,106,1017,113,1122,,,2.9,3-,1,Preg,,1,30
17EW00002,H9584,,.,3,89,e8,W,96,1017,107,1122,,,2.4,4+,1,Preg,,1,30
17EW00003,H9587,,.,1,92,e10,W,100,1017,100,1122,,,2.8,2-,2,Open,,1,30
17EW00004,H9591,,.,1,102,e10,W,113,1017,127,1122,,,2.8,2+,1,Preg,,1,30
17EW00005,H9597,,.,1,117,e11,W,129,1017,144,1122,,,2.0,2+,1,Preg,,1,30
17EW00006,H9598,,.,1,111,e10,W,125,1017,139,1122,,,2.5,2-,1,Preg,,1,30
17EW00007,H9599,,.,1,94,e11,W,101,1017,122,1122,,,2.7,2-,1,Open,,1,30
17EW00008,H9600,,.,1,99,e10,W,110,1017,124,1122,,,3.1,2+,1,Preg,,1,30
17EW00009,H9601,,.,1,92,e11,W,100,1017,116,1122,,,3.3,3+,1,Preg,,1,30
17EW00010,H9602,,.,1,109,e12,W,113,1017,125,1122,,,,,,,,1,30
17EW00572,Z5062,,HAIRY,1,94,e9,W,103,1017,118,1122,,,2.9,4+,1,Preg,,1,01
17EW00573,Z5063,,.,1,88,e7,W,99,1017,108,1122,,,3.1,3-,1,Preg,,1,01
17EW00574,Z5077,,.,1,86,e8,W,99,1017,107,1122,,,2.4,2,1,Preg,,1,LR
17EW00575,Z5080,,.,1,96,e9,W,107,1017,122,1122,,,3.1,2-,1,Preg,,1,XR
17EW00576,Z5100,,DoubleSync,1,100,A,W,106,1010,122,1122,,,2.8,2+,1,Preg,,2,XR
17EW00577,Z5114,,DoubleSync,1,95,A,W,105,1010,118,1122,,,2.6,2-,1,Preg,,2,00
17EW00578,Z5129,,Open?,1,97,A,W,103,1010,124,1122,,,2.8,2,1,Preg,,5,10
17EW00579,Z5138,,DoubleSync,1,101,A,W,109,1010,130,1122,,,2.4,2+,1,Preg,,5,20
17EW00580,Z5146,,DoubleSync,1,90,A,W,97,1010,108,1122,,,2.6,2+,1,Preg,,7,80
17EW00581,Z5152,,.,1,91,e7,W,102,1017,102,1122,,,2.6,3+,1,Open,,1,XR
