UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
22EW00001,A1468,,.,1,98,e1,W,120,1021,122,1129,,,,2-,,Preg,,1,30
22EW00002,A1471,,.,1,99,e2,W,112,1021,133,1129,,,,3+,,Preg,,1,30
22EW00003,A1476,,.,1,114,e3,W,131,1021,144,1129,,,,3-,,Preg,,1,30
22EW00004,A1482,,.,1,120,e4,W,130,1021,140,1129,,,,3,,Preg,,1,30
22EW00005,A1483,,1ST,1,94,e5,W,103,1021,118,1129,,,,3+,,Preg,,1,30
22EW00006,A1493,,.,1,99,e6,W,111,1021,129,1129,,,,3,,Preg,,1,30
22EW00007,A1502,,.,1,99,e1,W,101,1021,116,1129,,,,3,,Preg,,1,30
22EW00008,A1503,,.,1,97,e2,W,118,1021,124,1129,,,,3+,,Preg,,1,30
22EW00009,A1506,,.,1,95,e3,W,106,1021,124,1129,,,,2-,,Preg,,1,30
22EW00010,A1507,,2ND,1,99,e4,W,103,1021,122,1129,,,,3,,Preg,,1,30
22EW00729,Z9950,A,NICE LAMB,1,138,e2,W,166,1021,179,1129,,,,,,Open,,6,97
22EW00730,Z9957,,.,1,116,e3,W,144,1021,157,1129,,,,2-,,Preg,,5,SC
22EW00731,Z9965,,.,1,144,e4,W,173,1021,180,1129,,,,1-,,Preg,,6,97
22EW00732,Z9972,A,.,1,110,e5,W,123,1021,142,1129,,,,1-,,Preg,,5,S3
22EW00733,Z9975,A,.,1,113,e6,W,133,1021,143,1129,,,,1,,Preg,,6,97
22EW00734,Z9979,,.,1,94,e1,W,117,1021,134,1129,,,,,,Open,,1,02
22EW00735,Z9981,,.,1,91,e2,W,90,1021,103,1129,,,,2+,,Preg,,5,00
22EW00736,Z9989,A,.,1,94,e3,W,109,1021,120,1129,,,,2+,,Preg,,2,C3
22EW00737,Z9994,,.,1,98,e4,W,121,1021,129,1129,,,,2,,Preg,,5,00
22EW00738,Z9999,,.,1,114,e5,W,131,1021,146,1129,,,,2,,Preg,,5,00
