UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1018,W1207,IDZ65,CLR,STM,DIETPEN
09EW00001,L0001,,WEAK. WAS X72,,1,,106,e6,,,,135,,5,PC,
09EW00002,X7207,,NICE LAMB,,1,,108,e12,,,,128,,3,S3,
09EW00003,X7220,,.,,1,,106,e9,,,,123,,6,97,
09EW00004,X7223,,4TEATS,,1,,108,e11,,,,132,,6,97,
09EW00005,X7225,,ENTROPION,,1,,87,e12,,,,104,,5,S3,
09EW00006,X7226,,NICE LAMB,,1,,117,e7,,,,136,,5,SC,
09EW00007,X7228,,.,,1,,92,e10,,,,103,,5,T3,
09EW00008,X7232,,.,,1,,91,e3,,,,127,,9,BL,
09EW00009,X7233,,.,,1,,97,e3,,,,115,,9,BL,
09EW00010,X7235,,4TEATS,,1,,86,e13,,,,109,,5,SC,
09EW00887,H5551,,.,,1,,70,e16,,,,88,,1,30,
09EW00888,X8377,,.,,1,,79,,,,,91,,2,MY,
09EW00889,X8378,,.,,1,,70,,,,,80,,1,MY,
09EW00890,X8393,,2ND.POS,,1,,44,,,,,52,,1,MY,
09EW00891,T2841,,.,,1,,86,T1,,,,118,,1,02,
09EW00892,X8398,,8621,,1,,74,,,,,86,,2,MY,
09EW00893,T2845,,.,,1,,85,T1,,,,106,,1,02,
09EW00894,T2846,,.,,1,,58,T1,,,,67,,1,02,
09EW00895,K4535,,4T.Laz0401Mkt,,1,,79,e4,,,,96,,1,06,
09EW00896,T2499,,BIRTH HYPOXIA,,1,,98,T3,,,,93,,1,02,
