UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
24EW00001,A2054,,Early,1,74,e1,W,92,1021,113,1125,,,,4+,,Preg,,2,30
24EW00002,A2057,,BLSPOTRSHOULD,1,68,e1,W,87,1021,100,1125,,,,2-,,Preg,,3,30
24EW00003,A2062,,1ST,1,77,e1,W,87,1021,106,1125,,,,4,,Open,,1,30
24EW00004,A2063,,3RD,1,81,e1,W,98,1021,122,1125,,,,4+,,Preg,,1,30
24EW00005,A2067,,1ST,1,76,e1,W,98,1021,114,1125,,,,3,,Preg,,1,30
24EW00006,A2068,,2ND,1,92,e1,W,110,1021,131,1125,,,,3+,,Preg,,1,30
24EW00007,A2072,,.,1,68,e1,W,88,1021,106,1125,,,,3,,Preg,,1,30
24EW00008,A2073,,.,1,74,e1,W,85,1021,101,1125,,,,4,,Preg,,1,30
24EW00009,A2075,,.,1,75,e1,W,88,1021,106,1125,,,,3+,,Preg,,1,30
24EW00010,A2081,,.,1,66,e1,W,88,1021,103,1125,,,,3+,,Preg,,1,30
24EW00473,Y0654,,.,1,89,e2,W,103,1021,116,1125,,,,1,,Preg,,5,Kt
24EW00474,Y0655,,"With e1,early",1,63,e2,W,76,1021,84,1125,,,,1,,Preg,,5,Kt
24EW00475,Y0663,,.,1,61,e2,W,66,1021,79,1125,,,,1,,Open,,1,Kt
24EW00476,Y0669,,Early,1,62,e2,W,79,1021,83,1125,,,,1,,Preg,,5,Kt
24EW00477,Y0675,,.,1,72,e2,W,88,1021,102,1125,,,,1,,Preg,,2,Kt
24EW00478,Y0678,,.,1,72,e2,W,83,1021,94,1125,,,,1,,Open,,5,Kt
24EW00479,Y0682,,.,1,70,e2,W,88,1021,94,1125,,,,1,,Preg,,1,Kt
24EW00480,Y0683,,.,1,68,e2,W,86,1021,103,1125,,,,1,,Preg,,8,Kt
24EW00481,Y0689,,With e1,1,70,e2,W,74,1021,81,1125,,,,1,,Preg,,2,Kt
24EW00482,Y0691,,,1,89,e2,W,100,1021,117,1125,,,,1,,Preg,,1,Kt
