UID,ETAG,LINE,RMK,IDX,PD,BRDGTRT,CUWT,BPEN,BRAND,W1019,W1205,IDZ65,CLR,STM
06EW00001,H2194,88,,97,1,LIFE,85,e31,Purple,88,104,0,1,30
06EW00002,H2195,88,,106,1,LIFE,113,e31,Purple,119,139,0,1,30
06EW00003,H2192,88,,96,1,LIFE,94,e34,Purple,86,108,0,1,30
06EW00004,H2199,88,,96,1,Norm,86,e33,Purple,93,110,0,1,30
06EW00005,H2315,00,4TEATS,96,1,Norm,100,e.0,Purple,122,138,0,1,33
06EW00006,H2316,00,Save with X's,104,1,Norm,104,e.0,Purple,107,123,0,1,33
06EW00007,H2312,00,HAIRY 4TEATS,97,1,Norm,98,e.0,Purple,113,124,0,1,33
06EW00008,H2317,88,"WEAK, HAIRY",100,1,LIFE,101,e32,Purple,105,119,0,1,30
06EW00009,H2300,88,SCOURS TX.,109,1,LIFE,115,e31,Purple,124,144,0,1,30
06EW00010,H2303,88,,95,1,Norm,91,e33,Purple,94,112,0,1,30
06EW00746,X4284,00,,125,1,Norm,91,NON,Purple,103,0,0,4,86
06EW00747,X4291,00,,105,1,Norm,89,NON,Purple,101,0,0,1,00
06EW00748,X4298,00,OK stm err,110,1,Norm,95,NON,Purple,115,0,0,1,05
06EW00749,X4297,00,,115,1,Norm,101,NON,Purple,127,0,0,1,00
06EW00750,X4290,00,ENTROPION,122,1,Norm,95,NON,Purple,109,0,0,1,86
06EW00751,X4273,00,,121,1,Norm,86,NON,Purple,96,0,0,1,86
06EW00752,X2986,00,,0,1,Norm,102,e41,Purple,111,128,0,5,30
06EW00753,X2994,97,,118,1,Norm,114,e44,Purple,143,168,0,6,97
06EW00754,X2995,97,,129,1,Norm,126,e45,Purple,154,176,0,6,97
06EW00755,X2996,00,,122,1,Norm,125,e02,Purple,130,143,0,5,TS
