UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDAR,CLR,STM
20EW00001,A0720,,.,1,96,e6,W,112,1015,121,1120,,,,2-,1,Preg,,1,30
20EW00002,A0731,,.,1,99,e1,W,114,1015,121,1120,,,,1-,,Preg,,1,30
20EW00003,A0732,,PINK,1,101,e2,W,119,1015,140,1120,,,,2-,,Preg,,1,30
20EW00004,A0733,,.,1,101,e3,W,111,1015,122,1120,,,,3+,,Preg,,1,30
20EW00005,A0739,,2ND,1,87,e4,W,100,1015,112,1120,,,,2,1,Preg,,1,30
20EW00006,A0741,,1ST,1,129,e5,W,153,1015,174,1120,,,,2-,,Preg,,1,30
20EW00007,A0745,,.,1,95,e6,W,108,1015,119,1120,,,,2-,,Preg,,1,30
20EW00008,A0746,,.,1,96,e1,W,111,1015,130,1120,,,,2,,Preg,,1,30
20EW00009,A0761,,.,1,86,e2,W,94,1015,112,1120,,,,3,1,Preg,,1,30
20EW00010,A0766,,.,1,97,e3,W,112,1015,125,1120,,,,3+,1,Preg,,1,30
20EW00706,Z8432,,90BLK,1,97,e3,W,119,1015,134,1120,,,,2,1,Preg,,5,CS
20EW00707,Z8435,,.,1,111,e4,W,125,1015,146,1120,,,,2,,Preg,,1,LT
20EW00708,Z8446,,70BRN,1,84,e5,W,101,1015,118,1120,,,,2-,1,Preg,,5,CS
20EW00709,Z8448,,80BLK,1,90,e6,W,107,1015,123,1120,,,,2-,1,Preg,,5,CS
20EW00710,Z8457,,1ST,1,100,e1,W,109,1015,127,1120,,,,3,1,Preg,,1,07
20EW00711,Z8458,,2ND,1,91,e2,W,117,1015,134,1120,,,,3-,1,Preg,,1,07
20EW00712,Z8472,A,.,1,90,e3,W,116,1015,129,1120,,,,2-,1,Preg,,5,CS
20EW00713,Z8489,,.,1,99,e4,W,129,1015,130,1120,,,,2+,,Open,,5,CS
20EW00714,Z8494,,80BRN H,1,88,e5,W,101,1015,114,1120,,,,2,1,Preg,,5,CS
20EW00715,Z8495,,90BLK,1,81,e6,W,101,1015,114,1120,,,,2,1,Preg,,5,CS
