UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,NOV02,DEC17
93EW00001,A0113,82,,101,1,78,R.3,Red 3,97,113
93EW00002,A0103,82,ENTR,105,1,80,R.5,Red 5,100,111
93EW00003,A0136,82,HAIRY,99,1,85,R.4,Red 4,84,92
93EW00004,A0138,82,,96,1,85,R.5,Red 5,95,100
93EW00005,A0147,80,,91,1,90,R.3,Red 3,97,101
93EW00006,A0153,82,,104,1,76,R.5,Red 5,100,108
93EW00007,A0152,80,,107,1,98,R.4,Red 4,108,133
93EW00008,A0165,80,,107,1,96,R.4,Red 4,103,117
93EW00009,A0166,80,,98,1,78,R.5,Red 5,98,105
93EW00010,A0162,82,,109,1,79,R.3,Red 3,98,109
93EW00473,Z2437,97,,100,1,96,G.3,Grn 3,121,128
93EW00474,Z2461,97,,106,1,109,G.3,Grn 3,114,129
93EW00475,Z2490,97,ENTR,112,1,111,G.3,Grn 3,130,147
93EW00476,Z2474,97,,108,1,96,G.4,Grn 4,118,128
93EW00477,Z2506,97,,105,1,89,G.4,Grn 4,96,113
93EW00478,Z2568,97,,122,1,109,G.4,Grn 4,119,129
93EW00479,Z2622,97,,115,1,109,G.3,Grn 3,121,133
93EW00480,Z2268,97,WEAK,104,1,103,G.3,Grn 3,114,120
93EW00481,Z2298,97,,111,1,110,G.4,Grn 4,133,142
93EW00482,Z2299,97,,109,1,111,G.3,Grn 3,127,144
