UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1208,IDZ65,CLR,STM,DIETPEN
08EW00001,H4224,,.,,1,,91,e19,,,87,,1,30,
08EW00002,T2099,,.,,1,,87,,,,,,1,02,
08EW00003,X6153,,.,,1,,88,e11,,,78,,1,TC,
08EW00004,X6464,,.,,1,,95,,,,89,,1,04,
08EW00005,X6988,,.,,1,,69,,,,,,2,MY,
08EW00006,R7216,,.,,1,,110,e15,,,124,,1,07,
08EW00007,T1919,,HAIRY,,1,,89,T1,,,85,,1,02,
08EW00008,R7403,,.,,1,,95,e14,,,100,,1,07,
08EW00009,T2212,,.,,1,,86,T3,,,91,,1,02,
08EW00010,H4339,,HAIRY,,1,,59,e19,,,61,,1,30,
08EW00659,X6532,,.,,1,,96,e9,,,102,,6,97,
08EW00660,X5883,,ENTROPION,,1,,93,e3,,,100,,5,TS,
08EW00661,X5964,,RATTLES,,1,,89,e11,,,83,,6,97,
08EW00662,X6084,,E 1 EYE,,1,,103,,,,,,6,97,
08EW00663,X6654,,.,,1,,83,e10,,,93,,6,97,
08EW00664,X6252,,.,,1,,103,e3,,,90,,5,TS,
08EW00665,X6303,,.,,1,,103,e7,,,112,,5,CS,
08EW00666,X6047,,NICE LAMB,,1,,97,e3,,,90,,5,TS,
08EW00667,X5910,,.,,1,,114,,,,,,1,04,
08EW00668,R7187,,ENTROPION,,1,,112,e15,,,103,,1,07,
