UID,ID,SEX,STM,BREED,AUG4,SEP8,SEP29,OCT6,OCT13,OCT20,OCT27,NOV3,DEC17,PEN,TRT,BRAND,NEWPEN,BPEN,EID15,PREG,DISP
04EW00001,H0745,2,30,Polypay,93,101,103,105,103,107,104,105,115, 20,pm,Grn  8, 20,e11,949000000095592,1,
04EW00002,H0747,2,30,Polypay,87,104,106,112,115,116,121,119,131,  5,am,Red  1,  5,e10,949000000094197,1,
04EW00003,H0753,2,30,Polypay,88,101,104,109,111,110,116,115,125,  8,am,Red  2,  8,e11,949000000095296,1,
04EW00004,H0755,2,30,Polypay,83,97,99,102,104,99,104,100,113,  7,pm,Grn  2,  7,e10,949000000127840,1,
04EW00005,H0761,2,30,Polypay,79,96,98,102,104,105,106,105,116,  9,am,Red  3,  9,e10,949000000124533,1,
04EW00006,H0762,2,30,Polypay,84,99,99,109,105,107,109,110,123,  7,pm,Grn  2,  7,e10,949000000127144,1,
04EW00007,H0780,2,30,Polypay,81,99,96,99,102,97,100,97,116,  8,am,Red  2,  8,e12,949000000127287,1,
04EW00008,H0793,2,30,Polypay,84,100,103,104,105,102,106,103,113,  7,pm,Grn  2,  7,e10,949000000122977,1,
04EW00009,H0806,2,30,Polypay,79,89,88,93,96,100,100,103,110, 14,am,Red  5, 14,e12,949000000095410,1,
04EW00010,H0824,2,30,Polypay,77,92,94,101,100,105,103,107,115, 18,am,Red  7, 18,e12,949000000123750,1,
04EW00672,X1511,3,30,Wether,98,107,108,0,0,0,0,0,0, 26,W,None.., 26,-W-,0,,
04EW00673,X1513,2,83,SxCxP,87,102,98,103,108,109,116,117,137,  8,am,Red  2,  8,e.6,949000000094780,1,
04EW00674,X1518,3,30,Wether,95,115,113,0,0,0,0,0,0, 26,W,None.., 26,-W-,0,,
04EW00675,X1523,2,97,Suffolk,96,112,111,107,106,111,118,117,137, 15,am,Red  6, 15,974,949000000128183,0,
04EW00676,X1534,3,83,Wether,108,127,129,0,0,0,0,0,0, 26,W,None.., 26,-W-,0,,
04EW00677,X1570,2,83,SxCxP,84,101,103,99,101,99,105,104,119,  8,am,Red  2,  8,e.5,949000000126453,1,
04EW00678,X1606,2,86,CxSxP,84,97,101,101,100,101,107,108,118, 19,am,Red  8, 19,e.5,949000000128473,1,
04EW00679,X1692,2,83,SxCxP,78,94,89,95,98,96,103,102,123,  8,am,Red  2,  8,e.6,949000000127983,1,
04EW00680,X2064,2,83,SxCxP,82,98,105,109,110,115,118,120,137, 20,pm,Grn  8, 20,e.5,949000000094822,1,
04EW00681,X2119,2,83,SxCxP,64,74,83,89,93,98,98,99,114, 24,am,Red  9, 24,e.6,949000000094450,1,
