UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
16EW00001,H9272,,.,1,79,e5,W,92,1123,,,3.1,2-,1,Preg,,1,30
16EW00002,H9279,,.,1,108,e5,W,123,1123,,,3.1,2,1,Preg,,1,30
16EW00003,H9288,,Rescued,3,116,e3,W,129,1123,,,3.7,2+,1,Preg,,3,30
16EW00004,H9290,,Ugly,1,97,e4,W,113,1123,,,2.4,2+,1,Preg,,1,30
16EW00005,H9291,,.,1,125,e4,W,134,1123,,,3.7,2-,1,Open,,1,30
16EW00006,H9292,,.,1,122,e5,W,130,1123,,,3.5,2,1,Preg,,1,30
16EW00007,H9293,,.,1,140,e4,W,129,1123,,,2.9,2-,1,Preg,,1,30
16EW00008,H9296,,TerminalOnly,1,99,e4,W,111,1123,,,2.8,2,1,Open,,1,30
16EW00009,H9299,,1ST,1,107,e3,W,136,1123,,,3.0,2-,1,Preg,,1,30
16EW00010,H9300,,Rescued,3,110,e5,W,128,1123,,,3.1,3+,1,Preg,,1,30
16EW00423,Z3965,,1ST,1,111,e6,W,128,1123,,,2.6,3,1,Preg,,1,01
16EW00424,Z3966,,ForSync,1,111,BR1,W,0,,,,,2-,1,Open,,5,20
16EW00425,Z3978,,ForSync,1,120,BR2,W,0,,,,,1-,1,Preg,,5,80
16EW00426,Z3992,,Aborted,1,112,BR1,W,0,,,,,1-,1,Open,,5,00
16EW00427,Z4008,,ForSync,1,116,BR1,W,0,,,,,2,1,Preg,,5,20
16EW00428,Z4013,,1ST.H,1,88,e7,W,112,1123,,,2.4,4-,1,Preg,,1,07
16EW00429,Z4014,,ForSync,1,125,BR2,W,0,,,,,2,1,Preg,,5,80
16EW00430,Z4022,,1ST.P,1,83,e8,W,94,1123,,,2.6,5-,1,Preg,,1,02
16EW00431,Z4037,,ForSync,1,112,BR1,W,0,,,,,2+,1,Preg,,5,20
16EW00432,Z4070,,ForSync,1,111,BR2,W,0,,,,,3,1,Open,,2,00
