UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,NOV01,DEC14,IDZ65,PREG
00EW00001,01115,88,SAVE,0,1,LIM,81,e.8,purple,94,102,0,0
00EW00002,01103,18,,0,1,LIM,80,e.0,purple,83,96,0,0
00EW00003,01104,18,,0,1,LIM,73,e.0,purple,77,83,0,0
00EW00004,01105,41,SAVE,0,1,LIM,79,e.2,purple,86,98,0,0
00EW00005,01131,68,,0,1,LIM,96,e.0,purple,102,120,0,0
00EW00006,01139,68,BLK.EARS,0,1,LIM,80,e.0,purple,89,100,0,0
00EW00007,01142,68,,0,1,LIM,104,e.0,purple,109,116,0,0
00EW00008,01149,00,,0,1,LIM,90,e.0,purple,93,95,0,0
00EW00009,01161,18,,0,1,LIM,88,e.0,purple,98,106,0,1
00EW00010,01186,18,,0,1,LIM,86,e.0,purple,89,104,0,1
00EW00842,00050,88,PNEU,0,1,LIM,100,e.7,purple,113,121,0,1
00EW00843,00053,00,BLACK EWE,0,1,LIM,84,e.0,purple,90,94,0,0
00EW00844,00063,88,,0,1,LIM,89,e.6,purple,92,101,0,1
00EW00845,00022,00,BLACK EWE,0,1,LIM,92,e.0,purple,97,103,0,0
00EW00846,00085,88,,0,1,LIM,100,e.9,purple,105,122,0,1
00EW00847,00088,88,,0,1,LIM,88,e.8,purple,94,106,0,0
00EW00848,00087,00,BLACK EWE,0,1,LIM,70,e.0,purple,78,86,0,0
00EW00849,00096,18,4TEATS,0,1,LIM,90,e.0,purple,92,103,0,1
00EW00850,00097,68,,0,1,LIM,100,e.0,purple,107,116,0,1
00EW00851,00001,88,,0,1,LIM,98,e.9,purple,111,129,0,1
