UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
21EW00001,A1054,,.,1,101,e1,W,111,1015,120,1119,,,,2,,Preg,,1,30
21EW00002,A1057,,HAIRY,1,99,e2,W,125,1015,135,1119,,,,2,,Preg,,1,30
21EW00003,A1058,,.,1,108,e3,W,131,1015,127,1119,,,,,,Open,15805,1,30
21EW00004,A1064,,HAIRY,1,100,e4,W,127,1015,132,1119,,,,3+,,Preg,,1,30
21EW00005,A1067,,.,1,85,e5,W,102,1015,116,1119,,,,3,,Preg,,1,30
21EW00006,A1073,,.,1,103,e1,W,123,1015,138,1119,,,,2+,,Preg,,1,30
21EW00007,A1080,,.,1,87,e2,W,101,1015,107,1119,,,,3,,Preg,,1,30
21EW00008,A1098,,.,1,87,e3,W,101,1015,109,1119,,,,3,,Preg,,1,30
21EW00009,A1101,,2ND,1,94,e4,W,103,1015,114,1119,,,,3,,Preg,,1,30
21EW00010,A1102,,.,1,101,e5,W,114,1015,131,1119,,,,1-,,Preg,,1,30
21EW00621,Z9653,,HAIRY,1,103,e3,W,121,1015,131,1119,,,,3-,,Preg,,2,LR
21EW00622,Z9667,,HAIRY,1,105,e4,W,109,1015,124,1119,,,,,,Open,15760,2,LT
21EW00623,Z9668,,CU,1,110,e5,W,121,1015,138,1119,,,,3+,,Preg,,5,LP
21EW00624,Z9682,,HAIRY,1,118,e1,W,122,1015,135,1119,,,,2,,Preg,,5,00
21EW00625,Z9685,A,.,1,99,e2,W,113,1015,127,1119,,,,,,Preg,,6,97
21EW00626,Z9700,,HAIRY,1,106,e3,W,127,1015,139,1119,,,,2+,,Preg,,5,00
21EW00627,Z9701,A,.,1,92,e4,W,120,1015,140,1119,,,,1-,,Preg,,6,97
21EW00628,Z9718,,.,1,110,e5,W,128,1015,142,1119,,,,2-,,Preg,,5,00
21EW00629,Z9734,,HAIRY,1,102,e1,W,108,1015,123,1119,,,,3-,,Preg,,5,LR
21EW00630,Z9742,,HAIRY,1,101,e2,W,117,1015,131,1119,,,,3,,Preg,,5,LR
